fold,trafo_target_slope,thinning,posterior,warmup,sampling,a,b,nparam
1,identity,5,2000,5000,iwls-nuts,-4,4,20
1,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
2,identity,5,2000,5000,iwls-nuts,-4,4,20
2,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
3,identity,5,2000,5000,iwls-nuts,-4,4,20
3,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
4,identity,5,2000,5000,iwls-nuts,-4,4,20
4,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
5,identity,5,2000,5000,iwls-nuts,-4,4,20
5,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
6,identity,5,2000,5000,iwls-nuts,-4,4,20
6,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
7,identity,5,2000,5000,iwls-nuts,-4,4,20
7,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
8,identity,5,2000,5000,iwls-nuts,-4,4,20
8,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
9,identity,5,2000,5000,iwls-nuts,-4,4,20
9,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
10,identity,5,2000,5000,iwls-nuts,-4,4,20
10,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
-1,identity,5,2000,5000,iwls-nuts,-4,4,20
-1,continue_linearly,5,2000,5000,iwls-nuts,-4,4,20
1,identity,5,2000,5000,iwls-nuts,-4,7,30
1,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
2,identity,5,2000,5000,iwls-nuts,-4,7,30
2,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
3,identity,5,2000,5000,iwls-nuts,-4,7,30
3,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
4,identity,5,2000,5000,iwls-nuts,-4,7,30
4,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
5,identity,5,2000,5000,iwls-nuts,-4,7,30
5,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
6,identity,5,2000,5000,iwls-nuts,-4,7,30
6,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
7,identity,5,2000,5000,iwls-nuts,-4,7,30
7,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
8,identity,5,2000,5000,iwls-nuts,-4,7,30
8,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
9,identity,5,2000,5000,iwls-nuts,-4,7,30
9,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
10,identity,5,2000,5000,iwls-nuts,-4,7,30
10,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
-1,identity,5,2000,5000,iwls-nuts,-4,7,30
-1,continue_linearly,5,2000,5000,iwls-nuts,-4,7,30
