variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,model,job,run,fold,a,b,nparam,trafo_target_slope
g(age)_coef,4179.32626512701,6142.570132616834,5069.70096670822,8338.222400600194,1.0017982156839529,1.0006776244469984,17.970385585556876,21.798843975261764,26.41199723757273,35.852925120302736,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
g(age)_variance,2897.0643991384745,2897.0643991384745,4758.391325091954,4758.391325091954,1.0024361825900658,1.0024361825900658,12.456879653813266,20.460265950610747,12.456879653813266,20.460265950610747,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
loc_intercept,5324.625217983344,5324.625217983344,8698.108286501749,8698.108286501749,1.001403898220525,1.001403898220525,22.89497449963568,37.400372657580405,22.89497449963568,37.400372657580405,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
s(age)_coef,5120.850252000444,5294.891091761939,7863.972569393307,8716.441238124093,1.0009197860627572,1.0004739393114526,22.018777122572285,33.81373224804823,22.76712286055528,37.47920120282318,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
s(age)_variance,16404.55931989469,16404.55931989469,27314.70027248872,27314.70027248872,1.0001820491975386,1.0001820491975386,70.5367893383862,117.44852277897492,70.5367893383862,117.44852277897492,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
scale_intercept,5769.759886771101,5769.759886771101,9568.819615860357,9568.819615860357,1.000655245968321,1.000655245968321,24.808977170918407,41.14428192181955,24.808977170918407,41.14428192181955,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
trafo0_latent,18986.440175530817,26578.769977517833,18447.140114954967,22945.842915401132,1.0003902844053494,1.0001186393673265,81.63843385436864,79.31953616128135,114.28414882830478,98.66318602978122,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
trafo0_scale_square_transformed,15602.53145887782,15602.53145887782,21346.85186848384,21346.85186848384,1.000138311867632,1.000138311867632,67.08820719894067,91.78779898457196,67.08820719894067,91.78779898457196,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
g(age)_coef,2588.84568551598,4668.258131592606,3495.1010221519955,5893.2382329978245,1.00343497229649,1.0011270231626297,11.395294204340008,15.38434857053809,20.548221598885245,25.94020333347541,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
g(age)_variance,1547.4067907500744,1547.4067907500744,3286.3173774851657,3286.3173774851657,1.0047467927589857,1.0047467927589857,6.81120382456332,14.465347847805278,6.81120382456332,14.465347847805278,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
loc_intercept,3720.264611371992,3720.264611371992,8194.700926870817,8194.700926870817,1.0026436449734553,1.0026436449734553,16.375448719002765,36.07052691503281,16.375448719002765,36.07052691503281,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
s(age)_coef,4977.275200563072,5161.465483272039,8126.117849170208,8648.445158645549,1.0008491933393149,1.0003443569368713,21.908418707110897,35.76864551970283,22.71916709307771,38.06776801886661,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
s(age)_variance,16907.975890631496,16907.975890631496,27958.23982533655,27958.23982533655,1.0000849390449609,1.0000849390449609,74.42365558966584,123.06348347746624,74.42365558966584,123.06348347746624,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
scale_intercept,4546.844937007819,4546.844937007819,9010.751112115136,9010.751112115136,1.0007549801927116,1.0007549801927116,20.013798446387963,39.66252623673505,20.013798446387963,39.66252623673505,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
trafo0_latent,13777.322851237508,20551.131827917263,15978.053628583188,20183.639070381418,1.000437581267545,1.0001561173546518,60.64349378427208,70.33042677247822,90.45969588744246,88.84210696991279,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
trafo0_scale_square_transformed,13476.911533240824,13476.911533240824,18983.47853636573,18983.47853636573,1.0002237564495229,1.0002237564495229,59.321176517531065,83.55937325810378,59.321176517531065,83.55937325810378,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
