waic,log_score,crps,fit_seconds,model,job,run,fold,a,b,nparam,trafo_target_slope
12751.302660149106,656.8948456711234,0.35810734531134636,13954.045377254486,ptm-44-id,001g-ptm,20250905-162717,1,-4,4,20,identity
12730.220504292056,657.3534784663696,0.35782797980857384,13631.130389928818,ptm-44-co,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly
12434.197926612043,660.6993282875567,0.3585373799757545,30792.35224032402,ptm-47-id,001g-ptm,20250906-011016,1,-4,7,30,identity
12434.197926612043,660.6993282875567,0.3585373910400424,31645.619029045105,ptm-47-co,001g-ptm,20250906-013012,1,-4,7,30,continue_linearly
12632.550669901284,719.9449146911238,0.3717702525007692,13490.430520296097,ptm-44-id,001g-ptm,20250905-161943,2,-4,4,20,identity
12379.154356745295,689.2115341481993,0.3710704866031391,32614.355927228928,ptm-47-id,001g-ptm,20250906-014708,2,-4,7,30,identity
12379.154356745295,689.2115341481993,0.37107049179337787,32447.34857225418,ptm-47-co,001g-ptm,20250906-014942,2,-4,7,30,continue_linearly
12622.70887677402,713.0175218430223,0.3711032419856986,14252.721621751783,ptm-44-co,001g-ptm,20250905-163231,2,-4,4,20,continue_linearly
12413.16611199862,669.5227285256229,0.3572706557938334,27840.011234998703,ptm-47-id,001g-ptm,20250906-004707,3,-4,7,30,identity
12413.16611199862,669.5227285256229,0.35727066056429246,32295.516372442245,ptm-47-co,001g-ptm,20250906-020651,3,-4,7,30,continue_linearly
12704.701426692023,678.9227932036642,0.35790673450723554,14032.649449110031,ptm-44-id,001g-ptm,20250905-162850,3,-4,4,20,identity
12670.444389626851,680.5783744424924,0.3577025788998226,16183.85921740532,ptm-44-co,001g-ptm,20250905-170526,3,-4,4,20,continue_linearly
12362.203588939798,694.8016422385599,0.37721811964106433,32593.110029935837,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
12362.15918680268,694.7992437564594,0.37721615370969624,30391.695693016052,ptm-47-co,001g-ptm,20250906-020052,4,-4,7,30,continue_linearly
12643.122168048556,722.6258946557497,0.37747689521474936,13111.441833496094,ptm-44-id,001g-ptm,20250905-161343,4,-4,4,20,identity
12609.765791630569,723.4957484854689,0.3775236820112511,16060.660573482512,ptm-44-co,001g-ptm,20250905-170332,4,-4,4,20,continue_linearly
12408.05356048482,672.8640115953975,0.3597343215561296,26626.75603199005,ptm-47-id,001g-ptm,20250906-040240,5,-4,7,30,identity
12408.05356048482,672.8640115953975,0.3597343276538598,27670.833557367325,ptm-47-co,001g-ptm,20250906-042400,5,-4,7,30,continue_linearly
12712.152777185063,677.1363412854877,0.3616593825072543,14941.22375869751,ptm-44-id,001g-ptm,20250905-164406,5,-4,4,20,identity
12679.373893431344,679.9891856430639,0.3621034419895776,17626.092540979385,ptm-44-co,001g-ptm,20250905-172929,5,-4,4,20,continue_linearly
12671.99074487287,702.1652431883855,0.3729647512889588,14621.950344324112,ptm-44-id,001g-ptm,20250905-163845,6,-4,4,20,identity
12642.591869992297,703.2408585459382,0.3734836365729056,14243.715786457062,ptm-44-co,001g-ptm,20250905-163210,6,-4,4,20,continue_linearly
12373.90941224128,689.5694794911169,0.3725327999518628,26075.581211566925,ptm-47-id,001g-ptm,20250906-040105,6,-4,7,30,identity
12373.90941224128,689.5694794911169,0.3725328102515224,26732.10941958427,ptm-47-co,001g-ptm,20250906-042214,6,-4,7,30,continue_linearly
12585.129980702026,753.2194277322267,0.3929391716395371,14592.029417037964,ptm-44-id,001g-ptm,20250905-163812,7,-4,4,20,identity
12584.746263107363,743.6781626060588,0.39339807793731546,15774.90739774704,ptm-44-co,001g-ptm,20250905-165830,7,-4,4,20,continue_linearly
12309.625160760395,726.1553070442841,0.3936777827059221,24738.655649662014,ptm-47-id,001g-ptm,20250906-035810,7,-4,7,30,identity
12309.638423623635,726.1498577398945,0.39369186527825906,25778.118431568146,ptm-47-co,001g-ptm,20250906-042539,7,-4,7,30,continue_linearly
12665.100555329804,704.0195888454875,0.3744960684265817,13758.70277762413,ptm-44-id,001g-ptm,20250905-162405,8,-4,4,20,identity
12633.56112075208,705.5861634119756,0.374227313637105,15419.448565483091,ptm-44-co,001g-ptm,20250905-203415,8,-4,4,20,continue_linearly
12372.408605714478,691.0215987815411,0.3747622759420483,24838.204727888107,ptm-47-id,001g-ptm,20250906-043939,8,-4,7,30,identity
12372.408605714478,691.0215987815411,0.37476228346878704,21346.12451243401,ptm-47-co,001g-ptm,20250906-064707,8,-4,7,30,continue_linearly
12643.7063599722,715.7414551544082,0.3781274661627342,15507.208308935164,ptm-44-id,001g-ptm,20250905-204150,9,-4,4,20,identity
12630.615279893933,710.2678092437786,0.3775811827379488,17122.18456220627,ptm-44-co,001g-ptm,20250905-211111,9,-4,4,20,continue_linearly
12354.539170298622,699.1283909395145,0.3787940399518548,21281.072544813156,ptm-47-id,001g-ptm,20250906-070913,9,-4,7,30,identity
12354.541379676612,699.1212885956895,0.3787943454042754,20782.77692127228,ptm-47-co,001g-ptm,20250906-072048,9,-4,7,30,continue_linearly
12658.783129483674,710.4128446117286,0.37740470368847023,15022.827946186066,ptm-44-id,001g-ptm,20250905-203816,10,-4,4,20,identity
12647.704136351213,706.2311126250574,0.3774155117052877,16200.951610803604,ptm-44-co,001g-ptm,20250905-210108,10,-4,4,20,continue_linearly
12380.5302831375,688.3636402477638,0.37636982837307814,20462.613996982574,ptm-47-id,001g-ptm,20250906-073227,10,-4,7,30,identity
12380.5302831375,688.3636402477638,0.3763698351972835,19879.603328466415,ptm-47-co,001g-ptm,20250906-072514,10,-4,7,30,continue_linearly
14069.211551477782,1.316461242633805,0.29207011285272544,16329.305337905884,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
14041.868116370088,1.3259106576842683,0.294241484042519,17632.034027576447,ptm-44-co,001h-ptm,20250905-180527,-1,-4,4,20,continue_linearly
13749.135292002607,1.333086562353527,0.30324332313196306,27654.010660648342,ptm-47-id,001h-ptm,20250906-020617,-1,-4,7,30,identity
