kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,1,divergent transition,warmup,76,0.0038,ptm,001g-ptm,20250905-162717,1,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-162717,1,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,1018,0.0509,ptm,001g-ptm,20250905-162717,1,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-162717,1,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,89,0.00445,ptm,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2000,0.1,ptm,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-162149,1,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,105,0.00524999999999999,ptm,001g-ptm,20250906-011016,1,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-011016,1,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,3622,0.1811,ptm,001g-ptm,20250906-011016,1,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-011016,1,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,105,0.00524999999999999,ptm,001g-ptm,20250906-013012,1,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-013012,1,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,3622,0.1811,ptm,001g-ptm,20250906-013012,1,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-013012,1,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,warmup,81,0.00405,ptm,001g-ptm,20250905-161943,2,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-161943,2,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,1247,0.06234999999999999,ptm,001g-ptm,20250905-161943,2,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-161943,2,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,98,0.0049,ptm,001g-ptm,20250906-014708,2,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-014708,2,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,2891,0.14455,ptm,001g-ptm,20250906-014708,2,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-014708,2,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,98,0.0049,ptm,001g-ptm,20250906-014942,2,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-014942,2,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2891,0.14455,ptm,001g-ptm,20250906-014942,2,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-014942,2,-4,7,30,continue_linearly,NA
