variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,r,pdf_gaussian,model,job,run,fold,a,b,nparam,trafo_target_slope
pdf,pdf[0],"(0,)",40000,2.9091255262193814e-6,2.2970989843196576e-12,1.51561835048262e-6,1.000104025003426,25457.11383097547,19113.07243997996,9.946524995553868e-9,9.942122854022775e-9,7.797836892753968e-7,2.71998696930889e-6,5.709048740593222e-6,4.98327572260656e-7,5.220751390679336e-6,-5,1.4867195379779342e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[1],"(1,)",40000,3.668192998644528e-6,3.5858961928189657e-12,1.8936462691904649e-6,1.0001039438815755,25457.11383097547,19113.07243997996,1.2412263707238295e-8,1.2337188725252632e-8,9.972093611347377e-7,3.436781299483094e-6,7.160053028129999e-6,6.39940408374243e-7,6.5536148156047e-6,-4.951807228915662,1.8896178714718003e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[2],"(2,)",40000,4.614696498368238e-6,5.5711636192599235e-12,2.3603312520194965e-6,1.0001041464835898,25457.11383097547,19113.07243997996,1.5452417591431526e-8,1.527316586066677e-8,1.2723010304808888e-6,4.332397554243458e-6,8.95901077741627e-6,8.367693104641523e-7,8.22445116611629e-6,-4.903614457831325,2.396129350627483e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[3],"(3,)",40000,5.792091237532373e-6,8.614356102111004e-12,2.9350223341758413e-6,1.0001042466736147,25457.11383097547,19113.07243997996,1.9191415559405972e-8,1.8863306846336193e-8,1.6195141372384686e-6,5.448739432324773e-6,1.1183949866562614e-5,1.0693740718464391e-6,1.0276099269189676e-5,-4.855421686746988,3.0313624209125483e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[4],"(4,)",40000,7.253188534108504e-6,1.3256439596780856e-11,3.6409393838377554e-6,1.0001039388377944,25457.11383097547,19113.07243997996,2.3778365313356305e-8,2.3242488868162995e-8,2.0566999631684513e-6,6.8368351730802334e-06,1.3929056388600147e-5,1.363467808388722e-6,1.2809759853142366e-5,-4.807228915662651,3.826104243025085e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[5],"(5,)",40000,8.85594674975282e-6,1.8312156547334664e-11,4.279270562529864e-6,1.0001036541358566,25457.11383097547,19113.07243997996,2.7812258749565297e-8,2.6594593543550793e-8,2.652682529458913e-6,8.412136235117693e-6,1.6640313173188096e-5,1.7890425823535296e-6,1.536025905224861e-5,-4.759036144578313,4.818003004022457e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[6],"(6,)",40000,1.068927084567024e-5,2.4011643254773662e-11,4.900167676189629e-6,1.00010244815573,25457.11383097547,19113.07243997996,3.164032733631416e-8,2.9386525573493442e-8,3.4371247335741015e-6,1.025326826665546e-5,1.9501932496189676e-5,2.675708812711927e-6,1.836831139471661e-5,-4.710843373493976,6.052972027264174e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[7],"(7,)",40000,1.2806025578733615e-5,3.0300283631332274e-11,5.504569341132172e-6,1.0001008723569111,25457.11383097547,19113.07243997996,3.5270919038997525e-8,3.1694036824139854e-8,4.460846867197424e-6,1.241508326365275e-5,2.2561939722671585e-5,3.5315888416067156e-6,2.135147760286897e-5,-4.662650602409639,7.586851781530213e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[8],"(8,)",40000,1.5234301487745991e-5,3.667397577370962e-11,6.055904207771918e-6,1.0000986766731652,25457.11383097547,19113.07243997996,3.8461552382396055e-8,3.335782558696291e-8,5.798237883927325e-6,1.49353487801645e-5,2.576829376845596e-5,4.865257069152888e-6,2.469400410986815e-5,-4.614457831325302,9.487370583150623e-6,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[9],"(9,)",40000,1.8004405769928677e-5,4.2356392028955297e-11,6.508178856558515e-6,1.0000964412500688,25457.11383097547,19113.07243997996,4.092063154387293e-8,3.428046162033673e-8,7.547006449514527e-6,1.785275485058485e-5,2.9054589761861055e-5,7.229596930477795e-6,2.8663723402089817e-5,-4.566265060240964,1.1836449843624158e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[10],"(10,)",40000,2.114989782084466e-5,4.630610543481704e-11,6.804858957746078e-6,1.0000920385830077,25457.11383097547,19113.07243997996,4.230658620652409e-8,3.4482105147864326e-8,9.8354740218859e-6,2.120623392272751e-5,3.2340883824729303e-5,9.884745899592072e-6,3.236870544720766e-5,-4.518072289156627,1.473290511457097e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[11],"(11,)",40000,2.4709107577784195e-5,4.730269676520103e-11,6.877695599923062e-6,1.0000830697952183,25457.11383097547,19113.07243997996,4.222887989305076e-8,3.417783740967053e-8,1.283211653145185e-5,2.503416546930688e-5,3.5535335975221254e-5,1.338335511287366e-5,3.5987708032885014e-5,-4.46987951807229,1.829559988242219e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[12],"(12,)",40000,2.8727271063423743e-5,4.416864714764608e-11,6.6459496798912105e-6,1.0000797887540729,25457.11383097547,19113.07243997996,4.025623255851957e-8,3.3866928125332254e-8,1.6758028135753822e-5,2.937347196677458e-5,3.853666878233614e-5,1.8248181709393418e-5,3.962494937923839e-5,-4.421686746987952,2.266711500963761e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[13],"(13,)",40000,3.325945777778424e-5,3.6221119997383304e-11,6.018398457844354e-6,1.0000740533157688,25457.11383097547,19113.07243997996,3.5956913016231955e-8,3.4389211835353344e-8,2.190317244942844e-5,3.425861731106956e-5,4.1237386816591065e-5,2.448181065702741e-5,4.257150412223806e-5,-4.373493975903615,2.801800282946097e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[14],"(14,)",40000,3.8374525003848055e-5,2.4119799057049028e-11,4.911191205506973e-6,1.0000540255411676,27290.01838966085,24974.53768506188,2.9100525451609653e-8,3.665166369774612e-8,2.864752888035284e-5,3.97205231887365e-5,4.3477433675663134e-5,3.1816079144739185e-5,4.361690788696e-5,-4.325301204819277,3.4551701075695905e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[15],"(15,)",40000,4.416042522148363e-5,1.1421502647454025e-11,3.379571370374359e-6,1.0000410575294612,31202.66963171526,30342.243886279724,2.0934145605967292e-8,4.0321584433078505e-8,3.74885455426734e-5,4.5472962231002994e-5,4.640495694997369e-5,4.029151746213024e-5,4.641322060039093e-5,-4.27710843373494,4.251018793966776e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[16],"(16,)",40000,5.073133039890414e-5,7.450594170965487e-12,2.729577654320442e-6,1.0000309400904446,21762.84289998656,20976.206096824964,2.044528338171223e-8,3.4913608198660194e-8,4.52279738586738e-5,5.176017010892057e-5,5.2757502508039496e-5,4.736165050290045e-5,5.27667991701564e-5,-4.228915662650603,5.2180465436165065e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[17],"(17,)",40000,5.823724451636488e-5,3.272788055866247e-11,5.720828660138535e-6,1.000129031768041,26639.36055936353,19053.69182860476,3.9158480607010624e-8,4.393716399997657e-8,4.6867837386889393e-05,5.9685489075710833e-5,6.4426348405618e-5,5.0122598363836566e-5,6.450638726409152e-5,-4.1807228915662655,6.39019637396162e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[18],"(18,)",40000,6.68770885233114e-5,1.295929938518533e-10,1.1383891858756097e-5,1.000111685566832,25702.69601920527,19113.07243997996,7.26631610841218e-8,6.295317090838307e-8,4.6556373913167565e-5,6.77645829703259e-5,8.403333627809952e-5,5.138974541205122e-5,8.67253038513585e-5,-4.132530120481928,7.80749639980213e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[19],"(19,)",40000,7.691671225130112e-5,3.8383568218924534e-10,1.9591724839565444e-5,1.000085738609437,25473.383378988583,19113.07243997996,1.2122541925676373e-7,9.94204771396928e-8,4.53805968669759e-5,7.63691985685066e-5,1.1018362155038e-4,4.3965744967751865e-5,1.0867415511757e-4,-4.0843373493975905,9.517014108653254e-5,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[20],"(20,)",40000,8.871399123909886e-5,9.707295268191243e-10,3.115653265078007e-5,1.0000802447614972,25457.11383097547,19113.07243997996,1.899730080753093e-7,1.817278272640939e-7,4.3338332895078335e-5,8.559588345862e-5,1.4423435698497e-4,3.782909862268392e-5,1.367531249699e-4,-4.0361445783132535,1.1573933052987e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[21],"(21,)",40000,1.0303667696086e-4,2.081717700374333e-9,4.5625844653818e-5,1.000091350220346,25391.14950884005,19224.41049448677,2.769683177844298e-7,3.373407084976773e-7,4.230254279114788e-5,9.622387987911044e-5,1.853886153496e-4,3.2484052816565245e-5,1.6914068477362e-4,-3.987951807228916,1.4042762507122e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
pdf,pdf[22],"(22,)",40000,1.2064386720738e-4,3.324975868383759e-9,5.7662603725324085e-5,1.000124686719925,25185.99856660738,18989.712004856836,3.5001529513546353e-7,4.78494299872653e-7,4.7328518767820495e-5,1.1092231627718e-4,2.253651196934e-4,3.4540928323571265e-5,2.0168354585691e-4,-3.9397590361445785,1.6998690572767e-4,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
