variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,age_std,model,job,run,fold,a,b,nparam,trafo_target_slope
scale,scale[0],"(0,)",40000,0.4725100852739066,1.4619623717487e-4,0.01209116359887964,1.0008356899907591,4944.853275321885,9923.947048335316,1.7192350626384e-4,9.072574733847292e-5,0.4529516682704928,0.47225745703410626,0.4927788716369342,0.4517742818664963,0.49138075342413423,-1.37347322292815,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[1],"(1,)",40000,0.4700894479604823,1.0126081465196e-4,0.01006284326877654,1.0010468282869285,4974.519372634559,9001.401484095482,1.4251825162364e-4,7.372152649612164e-5,0.45379729916056794,0.4699575114855805,0.4869081884054294,0.4531923606649106,0.4862199802680706,-1.3519040526854789,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[2],"(2,)",40000,0.46779941153674,7.224066345356787e-5,0.00849945077364225,1.001217739548359,5145.123684985161,9782.998015277512,1.1829103828673e-4,6.027519238487529e-5,0.4540067823890986,0.4677531650859154,0.48205902736615297,0.45371484150963465,0.48168782161730833,-1.3303348824428076,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[3],"(3,)",40000,0.4656675085806707,5.5022265031976525e-5,0.00741769944335685,1.0012497041778723,5500.560913050773,9778.527526693242,9.994046269730996e-5,5.1265234219974576e-5,0.4536265275872466,0.4655480290854548,0.47803469879177907,0.4534090495927699,0.4777699757086218,-1.3087657122001366,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[4],"(4,)",40000,0.46372184626146584,4.659112785373387e-5,0.00682576939646615,1.0010751777663047,5856.899677883646,10106.245945404427,8.91820935910973e-5,4.5987306146302643e-05,0.4526176222603713,0.4635722981751193,0.4752164679183394,0.4528194869498031,0.4753776887008158,-1.2871965419574654,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[5],"(5,)",40000,0.46199074598847145,4.455659235415816e-5,0.00667507246059233,1.0007617828394006,6139.302090171759,10536.10568825664,8.527654701326204e-5,4.4821172893210426e-5,0.4511425159721068,0.46188043313876137,0.4732532246564085,0.45062070174582425,0.47259162818723366,-1.2656273717147943,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[6],"(6,)",40000,0.46050257364093694,4.685028039531323e-5,0.00684472646606957,1.0004719122783647,6273.898993368164,10211.851788769633,8.653145255196833e-5,4.7529572190136125e-5,0.4493171225099267,0.4604338370851756,0.47203704151345666,0.4488768574489157,0.4715024335699481,-1.244058201472123,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[7],"(7,)",40000,0.4592857531129046,5.15825291289054e-5,0.00718209782228739,1.000293078485542,6217.1455598020775,9332.967610124,9.110825208968788e-5,5.212971302360741e-5,0.4475788716713162,0.4592270808360344,0.4712124077366251,0.4475464582131891,0.47115840651480617,-1.222489031229452,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[8],"(8,)",40000,0.45836895770758984,5.704511194760934e-5,0.00755282145609237,1.00034895936824,6107.614880118803,8990.969368976735,9.666792928789134e-5,5.652404977763029e-5,0.445973914764114,0.4582828980794431,0.4710130201575934,0.44518333749164457,0.47016706344781256,-1.2009198609867808,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
scale,scale[9],"(9,)",40000,0.4577809325664752,6.186157776693883e-5,0.00786521314186328,1.000525364905675,5999.798278763976,8984.806241046916,1.0157760630982e-4,5.959549686426897e-5,0.4449131028638293,0.4576807810803939,0.4709149128880135,0.4444431584633293,0.4703881025424072,-1.1793506907441096,ptm-44-id,001h-ptm,20250905-174943,-1,-4,4,20,identity
