variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,model,job,run,fold,a,b,nparam,trafo_target_slope
g(age)_coef,9591.13297042258,13901.249167110664,8827.45617848646,12946.094582241658,1.0004165000889005,1.0001803187767788,25.449301371045284,23.422946310804775,36.88584868740531,34.35142267525129,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
g(age)_variance,4585.97398620208,4585.97398620208,6831.844931477226,6831.844931477226,1.000986352768725,1.000986352768725,12.168513815264978,18.12775207241775,12.168513815264978,18.12775207241775,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
g(sex)_coef,14843.34374883009,14843.34374883009,16871.131912697976,16871.131912697976,1.0000386973080275,1.0000386973080275,39.3856210296451,44.766194133787835,39.3856210296451,44.766194133787835,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
loc_intercept,10875.615204155152,10875.615204155152,16038.767234614414,16038.767234614414,1.000196203833209,1.000196203833209,28.8575718613848,42.55758128184566,28.8575718613848,42.55758128184566,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
ri(id)_coef_latent,5368.395810090379,8632.567805077597,11839.34388557774,15421.164793521695,1.001491218344527,1.0005412165199832,14.244607312959332,31.41474855042437,22.905825657396043,40.91882278487434,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
ri(id)_variance,17586.803986337443,17586.803986337443,18272.496137218204,18272.496137218204,1.000298227365658,1.000298227365658,46.66517252779599,48.48460160352028,46.66517252779599,48.48460160352028,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
s(age)_coef,6353.063480089132,13949.848634934731,12206.303708469724,14619.892432249108,1.000521967276517,1.000173392288117,16.85734392722599,32.388446981323305,37.0148034737628,38.7927108995319,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
s(age)_variance,5903.434640558353,5903.434640558353,9309.33787507242,9309.33787507242,1.0003699538189077,1.0003699538189077,15.664289897256891,24.701580707744675,15.664289897256891,24.701580707744675,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
s(sex)_coef,1361.9992469569663,1361.9992469569663,2681.326954219324,2681.326954219324,1.0059551478847184,1.0059551478847184,3.6139556619469313,7.1146858189401145,3.6139556619469313,7.1146858189401145,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
scale_intercept,15779.052401475754,15779.052401475754,18322.87859475673,18322.87859475673,1.0000556269439425,1.0000556269439425,41.868448821743264,48.61828740994856,41.868448821743264,48.61828740994856,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
trafo0_latent,10807.418975047618,19315.167600824272,12969.094089155857,16400.483295593796,1.0008784248178697,1.0002885991731243,28.67661864216882,34.41245002047212,51.25124662764099,43.51736581147315,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
trafo0_scale_square_transformed,3168.2438679853412,3168.2438679853412,2005.454305996822,2005.454305996822,1.0013028557161832,1.0013028557161832,8.406680760445411,5.321312005220266,8.406680760445411,5.321312005220266,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity
g(age)_coef,10227.09098696794,14083.60056072425,11339.335601761211,13261.266808297203,1.000482648851328,1.0001873423353684,28.582040034860203,31.690472349492804,39.35997397251492,37.06176656790329,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity
g(age)_variance,5143.919750010401,5143.919750010401,7230.0556419346785,7230.0556419346785,1.000944414910108,1.000944414910108,14.375908107031908,20.206111403073574,14.375908107031908,20.206111403073574,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity
g(sex)_coef,13479.256986007493,13479.256986007493,16457.610834083614,16457.610834083614,1.0001084571796368,1.0001084571796368,37.67099200595416,45.9947107478884,37.67099200595416,45.9947107478884,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity
loc_intercept,12794.503608246374,12794.503608246374,17491.458442271178,17491.458442271178,1.0001067561524752,1.0001067561524752,35.757285705490666,48.88404396735573,35.757285705490666,48.88404396735573,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity
