waic,crps,fit_seconds,model,job,run,fold,log_score,crps_samples
1635.7056569256115,0.22835546821056696,22612.32911014557,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,NA,NA
1461.5856730545484,0.579229630208522,21468.91749048233,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,NA,NA
1481.0072034261805,0.4993755185137995,21594.718261003494,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205601,2,NA,NA
1493.327921969531,0.5508540501788733,21647.69820332527,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205554,3,NA,NA
1436.1264628063625,0.541691183076071,21878.00929760933,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205857,4,NA,NA
1490.1482752360937,0.5505474998549853,22191.310064792633,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210240,5,NA,NA
1484.819419779394,0.5685648004102185,21554.928060531616,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205447,6,NA,NA
1508.2950870812165,0.42955065330135456,21403.07410645485,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205308,7,NA,NA
1450.9543859503765,0.5525522148885755,21848.111308813095,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205822,8,NA,NA
1495.8794787154943,0.5075211809747859,22036.78291797638,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210027,9,NA,NA
1481.0108072225355,0.5627922386978945,21716.958298444748,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205705,10,NA,NA
1645.5849026799149,0.2349700174170687,22894.4041018486,ptm-linear-77-id,002c-ptm-linear,20250909-211407,-1,NA,NA
1468.2044470912422,0.5709839045294706,22191.01856446266,ptm-linear-77-id,002c-ptm-linear,20250909-210244,1,NA,NA
1489.6293154464431,0.5085075315496269,21212.08342385292,ptm-linear-77-id,002c-ptm-linear,20250909-205113,2,NA,NA
1495.962095397543,0.5657427547256396,22241.223249435425,ptm-linear-77-id,002c-ptm-linear,20250909-210311,3,NA,NA
1450.6814738959229,0.5671151063711902,22056.541342020035,ptm-linear-77-id,002c-ptm-linear,20250909-210051,4,NA,NA
1502.4161136558262,0.5385852215072643,22609.03013420105,ptm-linear-77-id,002c-ptm-linear,20250909-210851,5,NA,NA
1492.6997030905843,0.5575475611189273,22261.890978336334,ptm-linear-77-id,002c-ptm-linear,20250909-210332,6,NA,NA
