,index,age,sex
0,0,-1.8921586,0.0
1,1,-1.8439897,0.0
2,2,-1.7958208,0.0
3,3,-1.7476519,0.0
4,4,-1.699483,0.0
5,5,-1.6513141,0.0
6,6,-1.6031452,0.0
7,7,-1.5549763,0.0
8,8,-1.5068074,0.0
9,9,-1.4586384,0.0
10,10,-1.4104697,0.0
11,11,-1.3623008,0.0
12,12,-1.3141319,0.0
13,13,-1.2659628,0.0
14,14,-1.2177941,0.0
15,15,-1.1696252,0.0
16,16,-1.1214563,0.0
17,17,-1.0732874,0.0
18,18,-1.0251185,0.0
19,19,-0.9769495,0.0
20,20,-0.92878073,0.0
21,21,-0.88061166,0.0
22,22,-0.8324429,0.0
23,23,-0.7842739,0.0
24,24,-0.736105,0.0
25,25,-0.6879362,0.0
26,26,-0.63976717,0.0
27,27,-0.5915984,0.0
28,28,-0.5434295,0.0
29,29,-0.49526057,0.0
30,30,-0.44709164,0.0
31,31,-0.3989227,0.0
32,32,-0.3507539,0.0
33,33,-0.30258486,0.0
34,34,-0.25441605,0.0
35,35,-0.2062472,0.0
36,36,-0.15807827,0.0
37,37,-0.10990946,0.0
38,38,-0.06174042,0.0
39,39,-0.013571611,0.0
40,40,0.034597315,0.0
41,41,0.082766235,0.0
42,42,0.13093516,0.0
43,43,0.17910409,0.0
44,44,0.2272729,0.0
45,45,0.27544194,0.0
46,46,0.32361075,0.0
47,47,0.37177968,0.0
48,48,0.4199486,0.0
49,49,0.46811742,0.0
50,50,0.5162863,0.0
51,51,0.5644553,0.0
52,52,0.61262417,0.0
53,53,0.6607931,0.0
54,54,0.7089619,0.0
55,55,0.75713086,0.0
56,56,0.80529964,0.0
57,57,0.8534686,0.0
58,58,0.9016375,0.0
59,59,0.9498064,0.0
60,60,0.99797535,0.0
61,61,1.0461442,0.0
62,62,1.094313,0.0
63,63,1.142482,0.0
64,64,1.1906509,0.0
65,65,1.2388198,0.0
66,66,1.2869887,0.0
67,67,1.3351576,0.0
68,68,1.3833265,0.0
