job,model,fold,quantile_crps
001a-ptm-25quantiles,ptm-44-id,1,0.07743456
001a-ptm-25quantiles,ptm-44-co,1,0.07730154
001a-ptm-25quantiles,ptm-47-id,1,0.077701084
001a-ptm-25quantiles,ptm-47-co,1,0.077700734
001a-ptm-25quantiles,ptm-44-id,2,0.08095492
001a-ptm-25quantiles,ptm-47-id,2,0.08084401
001a-ptm-25quantiles,ptm-47-co,2,0.08084289
001a-ptm-25quantiles,ptm-44-co,2,0.080817744
001a-ptm-25quantiles,ptm-47-id,3,0.07778921
001a-ptm-25quantiles,ptm-47-co,3,0.07779121
001a-ptm-25quantiles,ptm-44-id,3,0.07783526
001a-ptm-25quantiles,ptm-44-co,3,0.07784103
001a-ptm-25quantiles,ptm-47-id,4,0.08426287
001a-ptm-25quantiles,ptm-47-co,4,0.08426316
001a-ptm-25quantiles,ptm-44-id,4,0.084392555
001a-ptm-25quantiles,ptm-44-co,4,0.0843637
001a-ptm-25quantiles,ptm-47-id,5,0.07762213
001a-ptm-25quantiles,ptm-47-co,5,0.07762239
001a-ptm-25quantiles,ptm-44-id,5,0.07804159
001a-ptm-25quantiles,ptm-44-co,5,0.07811595
001a-ptm-25quantiles,ptm-44-id,6,0.08209901
001a-ptm-25quantiles,ptm-44-co,6,0.082242884
001a-ptm-25quantiles,ptm-47-id,6,0.082050614
001a-ptm-25quantiles,ptm-47-co,6,0.08205128
001a-ptm-25quantiles,ptm-44-id,7,0.08621098
001a-ptm-25quantiles,ptm-44-co,7,0.08634978
001a-ptm-25quantiles,ptm-47-id,7,0.08656684
001a-ptm-25quantiles,ptm-47-co,7,0.08656792
001a-ptm-25quantiles,ptm-44-id,8,0.08200952
001a-ptm-25quantiles,ptm-44-co,8,0.08189816
001a-ptm-25quantiles,ptm-47-id,8,0.082112044
001a-ptm-25quantiles,ptm-47-co,8,0.08211119
001a-ptm-25quantiles,ptm-44-id,9,0.082794175
001a-ptm-25quantiles,ptm-44-co,9,0.08272612
001a-ptm-25quantiles,ptm-47-id,9,0.08295071
001a-ptm-25quantiles,ptm-47-co,9,0.0829493
001a-ptm-25quantiles,ptm-44-id,10,0.0832791
001a-ptm-25quantiles,ptm-44-co,10,0.08331262
001a-ptm-25quantiles,ptm-47-id,10,0.083019316
001a-ptm-25quantiles,ptm-47-co,10,0.08301761
002h-gaussian-100,gaussian,1,0.078326635
002h-gaussian-100,gaussian,2,0.08200628
002h-gaussian-100,gaussian,3,0.07887019
002h-gaussian-100,gaussian,4,0.08570807
002h-gaussian-100,gaussian,5,0.07891431
002h-gaussian-100,gaussian,6,0.08322203
002h-gaussian-100,gaussian,7,0.086725555
002h-gaussian-100,gaussian,8,0.082878575
002h-gaussian-100,gaussian,9,0.083394535
002h-gaussian-100,gaussian,10,0.08436216
003-bctm,bctm,1,0.07740053
003-bctm,bctm,2,0.0799663
003-bctm,bctm,3,0.07797901
003-bctm,bctm,4,0.08296794
003-bctm,bctm,5,0.07764144
003-bctm,bctm,6,0.0815339
003-bctm,bctm,7,0.085208595
003-bctm,bctm,8,0.08109526
003-bctm,bctm,9,0.08241945
003-bctm,bctm,10,0.08229326
004-qgam,qgam,1,0.07577099192607882
004-qgam,qgam,10,0.08148192027038134
004-qgam,qgam,2,0.07917894257896962
004-qgam,qgam,3,0.07651954578887755
004-qgam,qgam,4,0.08233442636069234
004-qgam,qgam,5,0.07666700038237523
004-qgam,qgam,6,0.08026103041675865
004-qgam,qgam,7,0.0842100254640333
004-qgam,qgam,8,0.07995186121955729
004-qgam,qgam,9,0.08102406862211886
005-ddpstar,ddpstar,1,0.07621885593586773
005-ddpstar,ddpstar,10,0.08166454880249589
005-ddpstar,ddpstar,2,0.07919899825515284
005-ddpstar,ddpstar,3,0.07641185277227372
005-ddpstar,ddpstar,4,0.08245776183389834
005-ddpstar,ddpstar,5,0.0769265597193193
005-ddpstar,ddpstar,6,0.0804381885270718
005-ddpstar,ddpstar,7,0.08413212051368507
005-ddpstar,ddpstar,8,0.08044485023573891
005-ddpstar,ddpstar,9,0.08114692885107462
006-tamls,tamls,1,0.0769727393281475
006-tamls,tamls,10,0.08176048359216985
006-tamls,tamls,2,0.08042214525640697
006-tamls,tamls,3,0.0777118128915932
006-tamls,tamls,4,0.08423785499718552
006-tamls,tamls,5,0.076761305573162
006-tamls,tamls,6,0.0810579724696193
006-tamls,tamls,7,0.08629831597846209
006-tamls,tamls,8,0.0811843974311814
006-tamls,tamls,9,0.0825506538639805
007-kowal,kowal,1,0.07781670422388515
007-kowal,kowal,10,0.08257742060304663
007-kowal,kowal,2,0.08218649403118579
007-kowal,kowal,3,0.07911720260755113
007-kowal,kowal,4,0.08420023062771302
007-kowal,kowal,5,0.07807156053107622
007-kowal,kowal,6,0.0813837261328641
007-kowal,kowal,7,0.08634929070476394
007-kowal,kowal,8,0.08249108018656773
007-kowal,kowal,9,0.08342147097093289
007b-kowal-noX,kowal,1,0.07777776072082851
007b-kowal-noX,kowal,10,0.08266465114704175
007b-kowal-noX,kowal,2,0.08221586839439712
007b-kowal-noX,kowal,3,0.0789893702466766
007b-kowal-noX,kowal,4,0.08437857572250165
007b-kowal-noX,kowal,5,0.0774274477386663
007b-kowal-noX,kowal,6,0.0812765749567129
007b-kowal-noX,kowal,7,0.08650519127673427
007b-kowal-noX,kowal,8,0.08244998794351922
007b-kowal-noX,kowal,9,0.08335623467981901
