job,model,fold,quantile_crps
001-ptm-nonlinear,ptm-nonlinear-77-id,1,0.12657835495338984
001-ptm-nonlinear,ptm-nonlinear-77-id,2,0.10729293651654503
001-ptm-nonlinear,ptm-nonlinear-77-id,3,0.121875446359188
001-ptm-nonlinear,ptm-nonlinear-77-id,4,0.11630232767784524
001-ptm-nonlinear,ptm-nonlinear-77-id,5,0.11321863516193877
001-ptm-nonlinear,ptm-nonlinear-77-id,6,0.12351525443379752
001-ptm-nonlinear,ptm-nonlinear-77-id,7,0.09326879258016592
001-ptm-nonlinear,ptm-nonlinear-77-id,8,0.12000787300599523
001-ptm-nonlinear,ptm-nonlinear-77-id,9,0.11721535079495976
001-ptm-nonlinear,ptm-nonlinear-77-id,10,0.11539012734110476
002-ptm-linear,ptm-linear-77-id,1,0.12356581754441756
002-ptm-linear,ptm-linear-77-id,2,0.10899092675055312
002-ptm-linear,ptm-linear-77-id,3,0.1278269558402415
002-ptm-linear,ptm-linear-77-id,4,0.12142033945667548
002-ptm-linear,ptm-linear-77-id,5,0.11313961979518446
002-ptm-linear,ptm-linear-77-id,6,0.12167449732573332
002-ptm-linear,ptm-linear-77-id,7,0.0920136003139005
002-ptm-linear,ptm-linear-77-id,8,0.12263789860907744
002-ptm-linear,ptm-linear-77-id,9,0.12009189266721015
002-ptm-linear,ptm-linear-77-id,10,0.11584160373950105
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,1,0.12540539882854754
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,2,0.10900419229917732
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,3,0.11796724360669132
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,4,0.1204356334706862
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,5,0.11012935258852656
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,6,0.1255664246610817
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,7,0.0918653590667328
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,8,0.12108495150781788
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,9,0.10852269154076084
003-ptm-nonlinear-nori,ptm-nonlinear-nori-77-id,10,0.11607722446867696
004-ptm-linear-nori,ptm-linear-nori-77-id,1,0.12175629216593442
004-ptm-linear-nori,ptm-linear-nori-77-id,2,0.1083520604709104
004-ptm-linear-nori,ptm-linear-nori-77-id,3,0.12180199882946732
004-ptm-linear-nori,ptm-linear-nori-77-id,4,0.11959929512170084
004-ptm-linear-nori,ptm-linear-nori-77-id,5,0.10994739836328656
004-ptm-linear-nori,ptm-linear-nori-77-id,6,0.12281772463383968
004-ptm-linear-nori,ptm-linear-nori-77-id,7,0.08955606070353131
004-ptm-linear-nori,ptm-linear-nori-77-id,8,0.1218626976418205
004-ptm-linear-nori,ptm-linear-nori-77-id,9,0.11167149905229536
004-ptm-linear-nori,ptm-linear-nori-77-id,10,0.11603370206705374
005-gaussian-nonlinear,gaussian-nonlinear,1,0.12610790297569077
005-gaussian-nonlinear,gaussian-nonlinear,2,0.1076514229793322
005-gaussian-nonlinear,gaussian-nonlinear,3,0.12210791647531334
005-gaussian-nonlinear,gaussian-nonlinear,4,0.1163284412069436
005-gaussian-nonlinear,gaussian-nonlinear,5,0.11361004357488778
005-gaussian-nonlinear,gaussian-nonlinear,6,0.1231749782971481
005-gaussian-nonlinear,gaussian-nonlinear,7,0.0932716887219603
005-gaussian-nonlinear,gaussian-nonlinear,8,0.11951008844910668
005-gaussian-nonlinear,gaussian-nonlinear,9,0.1178575760075568
005-gaussian-nonlinear,gaussian-nonlinear,10,0.1160219093839909
006-gaussian-linear,gaussian-linear,1,0.12406547116096046
006-gaussian-linear,gaussian-linear,2,0.1092916242174812
006-gaussian-linear,gaussian-linear,3,0.1279616400764136
006-gaussian-linear,gaussian-linear,4,0.12183020352243844
006-gaussian-linear,gaussian-linear,5,0.11342477679199704
006-gaussian-linear,gaussian-linear,6,0.12148895993254606
006-gaussian-linear,gaussian-linear,7,0.0919049583056693
006-gaussian-linear,gaussian-linear,8,0.12231672605244018
006-gaussian-linear,gaussian-linear,9,0.1205600742290431
006-gaussian-linear,gaussian-linear,10,0.11613465180700654
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,1,0.12907843533458435
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,2,0.1090651126292459
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,3,0.11785237272980444
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,4,0.12014631807711589
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,5,0.11068915828357775
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,6,0.12655760740162683
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,7,0.09333140410356527
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,8,0.12071281842408473
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,9,0.11079531251209666
007-gaussian-nonlinear-nori,gaussian-nonlinear-nori,10,0.11517792855639468
008-gaussian-linear-nori,gaussian-linear-nori,1,0.12263400734057504
008-gaussian-linear-nori,gaussian-linear-nori,2,0.10834211811055942
008-gaussian-linear-nori,gaussian-linear-nori,3,0.12190581473698148
008-gaussian-linear-nori,gaussian-linear-nori,4,0.11958071859376922
008-gaussian-linear-nori,gaussian-linear-nori,5,0.1105264149296693
008-gaussian-linear-nori,gaussian-linear-nori,6,0.12430441702012864
008-gaussian-linear-nori,gaussian-linear-nori,7,0.0911122894079593
008-gaussian-linear-nori,gaussian-linear-nori,8,0.12168552809566184
008-gaussian-linear-nori,gaussian-linear-nori,9,0.113620466452335
008-gaussian-linear-nori,gaussian-linear-nori,10,0.11496713666735955
009-bctm,bctm,1,0.12873444
009-bctm,bctm,2,0.10790843
009-bctm,bctm,3,0.11746316
009-bctm,bctm,4,0.1159777
009-bctm,bctm,5,0.11104895
009-bctm,bctm,6,0.125711
009-bctm,bctm,7,0.09217833
009-bctm,bctm,8,0.119022086
009-bctm,bctm,9,0.10772778
009-bctm,bctm,10,0.115731075
009-bctm,bctm-ri,1,0.12410964
009-bctm,bctm-ri,2,0.108188204
009-bctm,bctm-ri,3,0.12060761
009-bctm,bctm-ri,4,0.11643827
009-bctm,bctm-ri,5,0.11301433
009-bctm,bctm-ri,6,0.11997054
009-bctm,bctm-ri,7,0.09258432
009-bctm,bctm-ri,8,0.12023951
009-bctm,bctm-ri,9,0.11401994
009-bctm,bctm-ri,10,0.11464507
010-qgam,qgam,1,0.12334062382205344
010-qgam,qgam,10,0.11246397089655344
010-qgam,qgam,2,0.10577175151656353
010-qgam,qgam,3,0.11602453045198068
010-qgam,qgam,4,0.1167312625206354
010-qgam,qgam,5,0.10710645737810998
010-qgam,qgam,6,0.12163164581248756
010-qgam,qgam,7,0.08980538002969761
010-qgam,qgam,8,0.11757524300245624
010-qgam,qgam,9,0.1068257003508427
011-ddpstar,ddpstar,1,0.12744063883705198
011-ddpstar,ddpstar,10,0.11330367349849352
011-ddpstar,ddpstar,2,0.106009039886441
011-ddpstar,ddpstar,3,0.11690055232005672
011-ddpstar,ddpstar,4,0.11638690548328304
011-ddpstar,ddpstar,5,0.10774405677683072
011-ddpstar,ddpstar,6,0.12398329136130816
011-ddpstar,ddpstar,7,0.0902819909592108
011-ddpstar,ddpstar,8,0.11782296368298546
011-ddpstar,ddpstar,9,0.1110403612324978
012-tamls,tamls,1,0.12609113137307373
012-tamls,tamls,10,0.11295597021076836
012-tamls,tamls,2,0.10598496419824616
012-tamls,tamls,3,0.11566762310494191
012-tamls,tamls,4,0.11174822293722649
012-tamls,tamls,5,0.1065069986041794
012-tamls,tamls,6,0.12218314480460624
012-tamls,tamls,7,0.09078772297361216
012-tamls,tamls,8,0.11643300256498194
