,r
0,-5.0
1,-4.9518075
2,-4.9036145
3,-4.8554215
4,-4.8072286
5,-4.759036
6,-4.7108436
7,-4.6626506
8,-4.614458
9,-4.566265
10,-4.518072
11,-4.4698796
12,-4.421687
13,-4.373494
14,-4.325301
15,-4.277108
16,-4.2289157
17,-4.180723
18,-4.13253
19,-4.084337
20,-4.0361443
21,-3.9879518
22,-3.9397593
23,-3.8915663
24,-3.8433735
25,-3.7951808
26,-3.7469878
27,-3.6987953
28,-3.6506026
29,-3.6024096
30,-3.5542169
31,-3.5060241
32,-3.4578314
33,-3.4096386
34,-3.361446
35,-3.3132532
36,-3.2650602
37,-3.2168674
38,-3.168675
39,-3.120482
40,-3.0722892
41,-3.0240965
42,-2.9759035
43,-2.927711
44,-2.8795183
45,-2.8313253
46,-2.7831328
47,-2.7349396
48,-2.686747
49,-2.6385546
50,-2.5903614
51,-2.5421689
52,-2.4939759
53,-2.4457831
54,-2.3975906
55,-2.3493977
56,-2.301205
57,-2.2530122
58,-2.2048192
59,-2.1566267
60,-2.108434
61,-2.060241
62,-2.0120485
63,-1.9638554
64,-1.9156628
65,-1.8674701
66,-1.819277
67,-1.7710845
68,-1.7228916
69,-1.6746988
70,-1.6265062
71,-1.5783134
72,-1.5301206
73,-1.4819281
74,-1.4337349
75,-1.3855423
76,-1.3373497
77,-1.2891567
78,-1.2409642
79,-1.1927712
80,-1.1445786
81,-1.0963857
82,-1.0481927
83,-1.0000002
84,-0.95180726
85,-0.90361464
86,-0.855422
87,-0.80722886
88,-0.75903624
89,-0.7108436
90,-0.6626507
91,-0.6144581
92,-0.56626546
93,-0.5180723
94,-0.4698797
95,-0.42168677
96,-0.37349415
97,-0.32530153
98,-0.2771086
99,-0.22891599
100,-0.18072283
101,-0.13253021
102,-0.08433759
103,-0.036144674
104,0.012047946
105,0.060240567
106,0.10843372
107,0.15662634
108,0.20481896
109,0.25301188
110,0.3012045
111,0.34939742
112,0.39759028
113,0.4457829
114,0.49397582
115,0.54216844
116,0.59036136
117,0.638554
118,0.6867466
119,0.73493975
120,0.7831324
121,0.831325
122,0.8795179
123,0.92771053
124,0.97590315
125,1.0240963
126,1.072289
127,1.1204817
128,1.1686745
129,1.2168672
130,1.26506
131,1.3132527
132,1.3614457
133,1.4096384
134,1.457831
135,1.5060238
136,1.5542166
137,1.6024094
138,1.6506023
139,1.698795
140,1.7469877
141,1.7951806
142,1.8433731
143,1.8915659
144,1.9397587
145,1.9879514
146,2.0361443
147,2.0843368
148,2.13253
149,2.1807227
150,2.2289155
151,2.2771082
152,2.325301
153,2.3734937
154,2.4216866
155,2.4698792
156,2.518072
157,2.5662646
158,2.6144574
159,2.66265
160,2.7108428
161,2.759036
162,2.8072288
163,2.8554215
164,2.9036143
165,2.951807
166,2.9999995
167,3.0481925
168,3.0963852
169,3.144578
170,3.1927707
171,3.2409635
172,3.2891562
173,3.3373494
174,3.385542
175,3.4337347
176,3.4819274
177,3.5301204
178,3.578313
179,3.6265056
180,3.6746984
181,3.7228913
182,3.7710838
183,3.8192766
184,3.8674693
185,3.915662
186,3.9638553
187,4.012048
188,4.0602407
189,4.1084337
190,4.156626
191,4.2048187
192,4.2530117
193,4.3012047
194,4.349397
195,4.3975897
196,4.4457827
197,4.4939756
198,4.542168
199,4.590361
200,4.638554
201,4.6867466
202,4.7349396
203,4.783132
204,4.831325
205,4.8795176
206,4.9277105
207,4.975903
208,5.024096
209,5.0722885
210,5.1204815
211,5.168674
212,5.2168674
213,5.26506
214,5.313253
215,5.3614454
216,5.4096384
217,5.457831
218,5.506024
219,5.5542164
220,5.6024094
221,5.650602
222,5.698795
223,5.7469873
224,5.7951803
225,5.8433733
226,5.891566
227,5.939759
228,5.9879513
229,6.0361443
230,6.0843368
231,6.1325297
232,6.180722
233,6.228915
234,6.2771077
235,6.3253007
236,6.373493
237,6.4216866
238,6.469879
239,6.518072
240,6.5662646
241,6.6144576
242,6.66265
243,6.710843
244,6.7590356
245,6.8072286
246,6.855421
247,6.903614
248,6.9518065
249,7.0
