variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
intercept,8122.902123861264,8122.902123861264,7527.095310522803,7527.095310522803,0.9998564359550332,0.9998564359550332,1065.0854621454655,986.962499999966,1065.0854621454655,986.962499999966,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
x0_coef,1988.0769110344663,4361.1962676603,2051.168262470015,4319.861955333869,1.0036576122278045,1.0017521543144774,260.67922317440446,268.9518430061415,571.8457112271595,566.4259025829882,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
x0_igvar,326.6108780349405,326.6108780349405,607.5780535627949,607.5780535627949,1.0239396224220303,1.0239396224220303,42.82564195273349,79.66642243139066,42.82564195273349,79.66642243139066,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
x1_coef,6084.185445457737,9529.582445561397,5366.716723357927,6857.813272165298,1.0010575687818115,1.0002276249387791,797.7662869922261,703.6908575705378,1249.5312104363145,899.2053710502441,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
x1_igvar,1155.6117377424257,1155.6117377424257,1682.5813137848168,1682.5813137848168,1.0013394262482138,1.0013394262482138,151.5253099183025,220.6222442254352,151.5253099183025,220.6222442254352,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
x2_coef,694.9867012401584,8415.609172514372,963.1918040601508,6967.217816503826,1.0125729339327414,1.000411606388882,91.12755768666815,126.29495863905252,1103.4655900152982,913.5506368051174,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
x2_igvar,3567.8391752351467,3567.8391752351467,4483.376839735427,4483.376839735427,1.0007043177194193,1.0007043177194193,467.8197002587601,587.8661863097739,467.8197002587601,587.8661863097739,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
x3_coef,708.7163421871063,5085.127083131553,1021.050739496172,5663.7929073535315,1.007901493591544,1.0007762097453337,92.92780601541696,133.88149729832,666.7684587132541,742.6438721333874,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
x3_igvar,2123.9371769325635,2123.9371769325635,3979.854845689501,3979.854845689501,1.0012617720356771,1.0012617720356771,278.4933974540885,521.8437293662842,278.4933974540885,521.8437293662842,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
y_coef,3146.6838980541934,9381.87288514667,3041.7458120185593,5530.218640521899,1.0014240024794248,1.0004919782646389,412.5972740628812,398.837656113823,1230.1633412906947,725.1294410163124,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
y_igvar,986.8442781705944,986.8442781705944,1628.22806390057,1628.22806390057,1.0042521800972355,1.0042521800972355,129.396301722432,213.4953756027031,129.396301722432,213.4953756027031,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA,NA,NA
intercept,7999.113440600318,7999.113440600318,7025.680760421192,7025.680760421192,1.0003221420652288,1.0003221420652288,298.7183656941559,262.3665597727027,298.7183656941559,262.3665597727027,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
x0_coef,6313.622114044313,8283.659378596276,4466.355720811653,6107.082178940711,1.0006809747996468,1.0002141926146673,235.7754885616747,166.79129398988405,309.3444304692398,228.06247482298036,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
x0_igvar,808.2058769085128,808.2058769085128,1137.1935900110495,1137.1935900110495,1.0038055482906034,1.0038055482906034,30.181587058028335,42.46728255681255,30.181587058028335,42.46728255681255,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
x1_coef,6565.254871525545,8750.32407588536,5416.679327618314,7173.677197083887,1.0012630731220176,1.0002764789103114,245.17244569049703,202.28011619673063,326.7715262013503,267.8933289599042,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
x1_igvar,1571.258983411613,1571.258983411613,2588.9225192484973,2588.9225192484973,1.0009787857888497,1.0009787857888497,58.67699203072597,96.68055211386888,58.67699203072597,96.68055211386888,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
x2_coef,718.8958664556529,6691.981469563372,1074.9903831377378,5978.055352443555,1.0073458875609398,1.0004038985198729,26.846399907512804,40.144370094561395,249.90491542441785,223.2441055089128,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
x2_igvar,4567.717815576473,4567.717815576473,5866.687770736112,5866.687770736112,1.0001895392807492,1.0001895392807492,170.5765533834814,219.08520186965387,170.5765533834814,219.08520186965387,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
x3_coef,1151.5966531000242,5441.6901959785355,1587.9731188877954,5614.319892253913,1.0035920206602489,1.0001751810791375,43.00514959656358,59.301163605552546,203.214120418153,209.66079243056907,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
x3_igvar,4089.487767322288,4089.487767322288,4984.470453395321,4984.470453395321,1.0000834494881603,1.0000834494881603,152.71756194634955,186.13973645275817,152.71756194634955,186.13973645275817,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
y_coef,2614.737430265442,8662.127801757948,2909.825945781091,5803.77518546814,1.0021627361017684,1.000351713943361,97.64458245132876,108.66434854722424,323.47793034684804,216.73579842733537,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
y_igvar,1684.957327716514,1684.957327716514,2958.59128437828,2958.59128437828,1.001133903833051,1.001133903833051,62.922935514975705,110.48543814127068,62.922935514975705,110.48543814127068,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA,NA,NA
intercept,7811.583273350207,7811.583273350207,5767.347912140262,5767.347912140262,1.000637908828753,1.000637908828753,213.7872565075436,157.84066357807353,213.7872565075436,157.84066357807353,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
x0_coef,7016.508210548716,7917.206881641026,5417.887548384164,6337.246613168859,1.0008109725581038,1.0004390813208566,192.02765791582377,148.2766392553189,216.67796132995244,173.43763995490775,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
x0_igvar,990.5263466296652,990.5263466296652,1914.656353647893,1914.656353647893,1.0088263865678504,1.0088263865678504,27.10870546139317,52.40027721365741,27.10870546139317,52.40027721365741,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
x1_coef,6907.370987152085,8648.620314405462,5962.162330940154,6628.939901687112,1.0005277254631637,0.999940345307126,189.0407925447003,163.17234073825034,236.695269690081,181.4206961052182,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
x1_igvar,1990.410883697289,1990.410883697289,3106.1197944132496,3106.1197944132496,1.0001466070679117,1.0001466070679117,54.473525693582125,85.0082250927076,54.473525693582125,85.0082250927076,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
x2_coef,591.5724129434567,4477.502788793708,908.7955099684008,4959.719702842919,1.0080601539375884,1.0008343531278032,16.190142095801914,24.871897540329535,122.54020775618604,135.73751072136346,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
