waic,kld,log_score,data_type,data_seed,model,ntrain,ntest,fit_seconds,run,job,time,min_ess_beta,min_ess_per_s,crps,kld_manual,log_score_manual,cdf_mad,cdf_ci_coverage,cdf_ci_width,mcmc_strategy,apply_jitter
6344.37469146283,0.10681664664457116,1559.7124454785692,mixture,1,ddpstar,2000,1000,145.761,20260115-133014,001-ddpstar,145.761,1.9418841655022228,0.01332238503785115,NA,NA,NA,NA,NA,NA,NA,NA
29816.469318093943,0.07579175057228088,1542.3815537367989,mixture,5,ddpstar,10000,1000,621.896,20260115-134104,001-ddpstar,621.896,2.1479697742878407,0.00345390511321481,NA,NA,NA,NA,NA,NA,NA,NA
59228.56504487517,0.02603053576556719,1464.6347486835678,mixture,10,ddpstar,20000,1000,1219.569,20260115-114158,001-ddpstar,1219.569,3.977568857772738,0.00326145454482094,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,mixture,1,qgam,2000,5000,177.643,20260109-194712,002-qgam,177.643,NA,NA,0.7923408992961565,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,mixture,5,qgam,10000,5000,906.703,20260109-200222,002-qgam,906.703,NA,NA,0.7966789704998986,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,mixture,10,qgam,20000,5000,1624.9160000000002,20260109-202931,002-qgam,1624.9160000000002,NA,NA,0.7768002960758426,NA,NA,NA,NA,NA,NA,NA
NA,1.316003118664637,13700.325443462896,mixture,1,kowal,2000,5000,46.486999999999995,20260109-210246,004-kowal,NA,NA,NA,1.2281954665470969,9.965551350630337,56948.06660329237,0.1891860950301955,0.8942,0.8991054872563717,NA,NA
NA,0.7216020364459487,10861.889242892095,mixture,5,kowal,10000,5000,453.87,20260109-211206,004-kowal,NA,NA,NA,1.0162156475571824,10.657142206710514,60539.590094215935,0.14011623719887412,0.8894,0.8974252873563218,NA,NA
NA,0.6764229944339574,10476.935762252271,mixture,10,kowal,20000,5000,602.563,20260109-212358,004-kowal,NA,NA,NA,0.972407603748021,8.556921234318803,49879.426961677134,0.13176278764278904,0.8952,0.8964656571714142,NA,NA
7043.755859375,0.37614614,9041.392,mixture,2,bctm-locshift,2000,5000,457.5915687084198,20260109-213150,005-bctm-locshift,NA,NA,NA,NA,NA,NA,0.087764904,0.4524,0.12106012,NA,NA
35794.1953125,0.3644949,9001.457,mixture,6,bctm-locshift,10000,5000,1606.6866371631622,20260109-215909,005-bctm-locshift,NA,NA,NA,NA,NA,NA,0.081388436,0.2496,0.060523693,NA,NA
71795.3984375,0.3552612,8937.768,mixture,11,bctm-locshift,20000,5000,2192.343005180359,20260109-223617,005-bctm-locshift,NA,NA,NA,NA,NA,NA,0.08198372,0.196,0.04440997,NA,NA
7179.5576171875,0.35025162,8871.568,mixture,1,bctm-te,2000,5000,455.2276258468628,20260109-224425,006-bctm-te,NA,NA,NA,NA,NA,NA,0.0881173,0.44399998,0.123450875,NA,NA
34990.984375,0.30540404,8780.899,mixture,5,bctm-te,10000,5000,1769.56285071373,20260109-231430,006-bctm-te,NA,NA,NA,NA,NA,NA,0.07152413,0.30679998000000003,0.06663546,NA,NA
69822.7421875,0.3192036,8690.839,mixture,10,bctm-te,20000,5000,4031.264765977859,20260110-002223,006-bctm-te,NA,NA,NA,NA,NA,NA,0.07223855,0.2148,0.048376877,NA,NA
NA,0.37326878139262487,8986.653757102822,mixture,1,tamls,2000,5000,109.509,20260115-081507,007-tamls,NA,NA,NA,NA,NA,NA,0.08852680109185825,NA,NA,NA,NA
NA,0.3376128645041408,8941.943383182988,mixture,5,tamls,10000,5000,342.187,20260113-194401,007-tamls,NA,NA,NA,NA,NA,NA,0.0790076154180754,NA,NA,NA,NA
NA,0.35719764794493325,8880.80902980715,mixture,10,tamls,20000,5000,1696.361,20260113-201225,007-tamls,NA,NA,NA,NA,NA,NA,0.08137986994271353,NA,NA,NA,NA
6722.33447265625,0.27315634,8526.442,mixture,2,gaussian-iwls,2000,5000,22.407752990722656,20260109-203021,008-gaussian,NA,NA,NA,0.84153557,NA,NA,NA,NA,NA,NA,NA
33731.58984375,0.25998738,8478.919,mixture,6,gaussian-iwls,10000,5000,30.682758808135983,20260109-203130,008-gaussian,NA,NA,NA,0.83716094,NA,NA,NA,NA,NA,NA,NA
67404.828125,0.24715793,8397.251,mixture,11,gaussian-iwls,20000,5000,45.19182300567627,20260109-203303,008-gaussian,NA,NA,NA,0.82601494,NA,NA,NA,NA,NA,NA,NA
28738.15625,0.0063236733,7285.4976,mixture,5,ptm-iwls-nuts,10000,5000,456.86294507980347,20260114-121954,010-ptm,NA,NA,NA,0.81492096,NA,NA,NA,NA,NA,iwls-nuts,FALSE
5803.33154296875,0.022511166,7232.865,mixture,1,ptm-iwls-nuts,2000,5000,167.0659749507904,20260113-225025,010-ptm,NA,NA,NA,0.8042764,NA,NA,NA,NA,NA,iwls-nuts,FALSE
57750.90234375,0.0037195715,7113.419,mixture,10,ptm-iwls-nuts,20000,5000,1220.3773019313812,20260114-124146,010-ptm,NA,NA,NA,0.796523,NA,NA,NA,NA,NA,iwls-nuts,FALSE
