kernel,error_code,error_msg,phase,count,sample_size,sample_size_total,relative,data_type,data_seed,model,ntrain,ntest,job,run,index,mcmc_strategy,apply_jitter
kernel_00,1,divergent transition,warmup,44,4000,4000,0.01099999994039535,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA
kernel_00,1,divergent transition,posterior,19,8000,8000,0.00237499992363154,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,464,4000,4000,0.11599999666213988,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,600,8000,8000,0.07500000298023224,mixture,2,bctm-locshift,2000,5000,005-bctm-locshift,20260109-213150,NA,NA,NA
kernel_00,1,divergent transition,warmup,37,4000,4000,0.00925000011920929,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA
kernel_00,1,divergent transition,posterior,0,8000,8000,0,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,335,4000,4000,0.08375000208616257,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,678,8000,8000,0.08475000411272049,mixture,6,bctm-locshift,10000,5000,005-bctm-locshift,20260109-215909,NA,NA,NA
kernel_00,1,divergent transition,warmup,40,4000,4000,0.00999999977648258,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA
kernel_00,1,divergent transition,posterior,0,8000,8000,0,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,320,4000,4000,0.07999999821186066,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,356,8000,8000,0.04450000077486038,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA
kernel_00,1,divergent transition,warmup,61,4000,4000,0.01524999924004077,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA
kernel_00,1,divergent transition,posterior,38,8000,8000,0.00475000031292438,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3863,4000,4000,0.965749979019165,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,7962,8000,8000,0.9952499866485596,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA
kernel_00,3,divergent transition + maximum tree depth,warmup,7,4000,4000,0.0017500000540167,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA
