mcmc_delta,nobs,data,coef_variance_prior,seed,a,diagonalize_penalty,trafo_target_slope,tau2_clip_additive,apply_jitter,tag,sample_trafo,wandb_mode,mcmc_tau,prop_ig_scale,mock_wandb,save_test_data,thinning_posterior_iwls,nparam,b,thinning_posterior,out_path,tau2_clip,warmup,tau2_prior_scale,debug,ntest,delta_prior,initialize_at_mode,data_path,prop_ig_concentration,trafo_lambda,posterior,run,da_target_accept,condition_number,condition
NUTS-joint,100,gaussian,weibull,55,-4,TRUE,transition,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,30,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-000kltpi,NA,7,J30
NUTS-joint,100,ptm,ig1,20,-4,TRUE,transition,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,15,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-00cqv4pk,NA,1,IG
NUTS-joint,50,gaussian,ig1,7,-4,TRUE,transition,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,15,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-00jij9dz,NA,1,IG
NUTS-joint,500,ptm,weibull,50,-4,TRUE,identity,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,15,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-00yziisg,NA,3,identity_extrap_error
NUTS-joint,500,gaussian,weibull,70,-4,TRUE,transition,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,30,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-01kug0kc,NA,7,J30
NUTS-joint,25,gaussian,weibull,61,-4,TRUE,continue_linearly,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,15,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-01tblfht,NA,2,linear_extrap
NUTS-joint,50,gaussian,weibull,58,-4,TRUE,continue_linearly,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,15,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-01tdjukh,NA,2,linear_extrap
NUTS-joint,50,gaussian,weibull,62,-4,TRUE,continue_linearly,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,15,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-028unrcd,NA,2,linear_extrap
NUTS-joint,500,gaussian,weibull,11,-4,TRUE,transition,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,30,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,0.5,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-02hzwrcj,NA,7,J30
NUTS-joint,50,gaussian,weibull,53,-4,TRUE,transition,TRUE,TRUE,042-hyperparameters,TRUE,disabled,NUTS-joint,0.01,TRUE,FALSE,10,15,4,1,/home/brachem/git/ptm_revision/sim/sim-unconditional/jobs/042-hyperparameters/raw,2.5e-4,5000,25,FALSE,1500,rw,FALSE,../data,0.01,0.1,10000,dummy-02klltb4,NA,6,scale25
