index,variable,kernel,error_code,error_msg,phase,count,relative,run
0,trafo0_latent,kernel_00,1,divergent transition,warmup,141,0.00705,dummy-000kltpi
0,trafo0_latent,kernel_00,1,divergent transition,posterior,773,0.019325,dummy-000kltpi
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,12,6e-4,dummy-000kltpi
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-000kltpi
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,141,0.00705,dummy-000kltpi
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,773,0.019325,dummy-000kltpi
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,12,6e-4,dummy-000kltpi
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-000kltpi
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-000kltpi
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-000kltpi
0,trafo0_latent,kernel_00,1,divergent transition,warmup,187,0.00935,dummy-00cqv4pk
0,trafo0_latent,kernel_00,1,divergent transition,posterior,13,3.25e-4,dummy-00cqv4pk
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,1,5e-5,dummy-00cqv4pk
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-00cqv4pk
0,trafo0_scale_square,kernel_01,NA,NA,NA,NA,NA,dummy-00cqv4pk
0,scale_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-00cqv4pk
0,loc_intercept,kernel_03,NA,NA,NA,NA,NA,dummy-00cqv4pk
0,trafo0_latent,kernel_00,1,divergent transition,warmup,142,0.0071,dummy-00jij9dz
0,trafo0_latent,kernel_00,1,divergent transition,posterior,5,1.25e-4,dummy-00jij9dz
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,2,1e-4,dummy-00jij9dz
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-00jij9dz
0,trafo0_scale_square,kernel_01,NA,NA,NA,NA,NA,dummy-00jij9dz
0,scale_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-00jij9dz
0,loc_intercept,kernel_03,NA,NA,NA,NA,NA,dummy-00jij9dz
0,trafo0_latent,kernel_00,1,divergent transition,warmup,197,0.00985,dummy-00yziisg
