kld_kde,kld_kde_floor,mad_kde,kld_gaussian,mad_gaussian,data,seed,nobs
Inf,0.1185132048962093,0.07004087111912896,0.02837141365320061,0.04753158963872044,gaussian,1,25
Inf,0.14070462893354513,0.07808273139060373,0.09094925808381545,0.055979597158265074,ptm,1,25
Inf,0.41635947325966244,0.055702988662503186,0.2513736711019551,0.0526325144595142,skewnorm,1,25
0.11389562526319684,0.11389562526319684,0.04069136769415213,0.22542758162613102,0.07168743397830377,mixture,1,25
0.44585555170092833,0.44585555170092833,0.061736397200150915,0.7024373169838696,0.06598834448660001,u-shaped,1,25
0.1191787532733378,0.1191787532733378,0.029563193665907254,0.18136998847451594,0.039028143096840814,unif,1,25
Inf,0.07775618681414413,0.044263502413744986,0.07060275296651411,0.03891776583308131,gaussian,1,50
Inf,0.07384376512536657,0.06898581992054191,0.07500657666176293,0.06409914685513879,ptm,1,50
Inf,0.050237069739992805,0.01439885951040036,0.09705957668732701,0.029196885283500694,skewnorm,1,50
0.05363107492843829,0.05363107492843829,0.024125233159158172,0.21955794160263353,0.06474792378833025,mixture,1,50
0.4185848209316532,0.4185848209316532,0.04039133664448357,0.6890491474427798,0.06336350346966126,u-shaped,1,50
0.12898437433644616,0.12898437433644616,0.0354901217181698,0.1856802033244935,0.0486866043481641,unif,1,50
0.014325914224686941,0.014325914224686941,0.03190050435670183,0.03442443016687057,0.03295943651708983,gaussian,1,100
Inf,0.05411305834068758,0.05273860124365576,0.06821482524548637,0.05325214908625552,ptm,1,100
Inf,0.06602713867728932,0.016567985961708435,0.090151519103025185,0.028075736764892743,skewnorm,1,100
0.039247546553548736,0.039247546553548736,0.03012586506369006,0.22082883606457288,0.06924295731837124,mixture,1,100
0.3830883658101793,0.3830883658101793,0.040515175632554315,0.6893253791234702,0.06338254406248658,u-shaped,1,100
0.08194437242103875,0.08194437242103875,0.02254087048467495,0.18310329458266347,0.04741857185062451,unif,1,100
3.549368045533901e-4,3.549368045533901e-4,0.006900866103287974,-1.2255619409727182e-4,0.006169733033964949,gaussian,1,500
Inf,0.03439780857460905,0.010555668969803261,0.058478934832076876,0.03059637139250434,ptm,1,500
1.1239562752445813e-4,1.1239562752445813e-4,0.0165264404192934,0.06421962022917074,0.046583736581284924,skewnorm,1,500
0.014220143496960536,0.014220143496960536,0.023083199485883953,0.21366085666208517,0.06158641603321963,mixture,1,500
0.24540296470850667,0.24540296470850667,0.012381149693250203,0.6739238920070607,0.05555569486820599,u-shaped,1,500
0.04055763622964976,0.04055763622964976,0.011758710992852169,0.1753880025892192,0.03649872681988512,unif,1,500
0.08571352563181263,0.08571352563181263,0.08919013658821087,0.05140078723487312,0.0880504051964726,gaussian,2,25
Inf,0.11156027587416277,0.05137392769942106,0.11106889410378334,0.05881445862268996,ptm,2,25
Inf,0.11584215658731672,0.051557047014021536,0.0702308844857953,0.045468750074252086,skewnorm,2,25
Inf,0.07586406320632055,0.04623922224497333,0.2582786381598319,0.07801897979773002,mixture,2,25
0.48947445231186515,0.48947445231186515,0.049408117340353754,0.6348816672121526,0.057232679301882375,u-shaped,2,25
0.1285072449515487,0.1285072449515487,0.014231702900529256,0.203454746226432,0.03227365270522967,unif,2,25
0.04901223498786384,0.04901223498786384,0.03134757994225744,0.0146745192029737,0.024986193429592872,gaussian,2,50
