nobs,data,model,run,seed
25,skewnorm,ptm,dummy-009j1dqx,15
100,mixture,ptm,dummy-01otzo0l,35
50,ptm,ptm,dummy-022zlg99,68
100,ptm,ptm,dummy-038vu0mi,25
500,gaussian,ptm,dummy-039rf2mi,22
50,ptm,ptm,dummy-04cqy158,82
50,u-shaped,ptm,dummy-04n0h8tt,75
50,skewnorm,ptm,dummy-04yy0h1i,83
50,skewnorm,ptm,dummy-04z20c4v,63
500,gaussian,ptm,dummy-05a1q8pz,5
25,gaussian,ptm,dummy-05ewvsh0,64
50,skewnorm,ptm,dummy-05oe4a3p,29
50,u-shaped,ptm,dummy-05x9kiin,69
25,gaussian,ptm,dummy-07debx7q,7
50,gaussian,ptm,dummy-07mbaa0r,14
500,u-shaped,ptm,dummy-08u000x7,32
50,gaussian,ptm,dummy-09709t4f,96
25,skewnorm,ptm,dummy-0ae0hg19,96
25,mixture,ptm,dummy-0aifryp2,77
100,u-shaped,ptm,dummy-0aksi9c4,51
50,skewnorm,ptm,dummy-0bmvj29z,31
50,skewnorm,ptm,dummy-0bobl69g,4
50,gaussian,ptm,dummy-0boglk8w,92
50,ptm,ptm,dummy-0cz6vbsq,100
50,gaussian,ptm,dummy-0dc68559,85
500,skewnorm,ptm,dummy-0e6xkjnc,42
50,ptm,ptm,dummy-0eapozez,86
50,gaussian,ptm,dummy-0ega62af,24
25,skewnorm,ptm,dummy-0el8qf5z,66
50,mixture,ptm,dummy-0etpm1gi,15
50,gaussian,ptm,dummy-0f9r7ize,65
25,mixture,ptm,dummy-0g836r9c,78
50,ptm,ptm,dummy-0gkvn4to,75
500,u-shaped,ptm,dummy-0hrk51jh,1
100,gaussian,ptm,dummy-0j6tgt6n,18
25,mixture,ptm,dummy-0jlldyvh,8
100,ptm,ptm,dummy-0jronrpo,18
25,gaussian,ptm,dummy-0k3xpr8w,45
50,ptm,ptm,dummy-0km4oamx,40
25,gaussian,ptm,dummy-0ko7ft9r,42
100,gaussian,ptm,dummy-0ldvn2zu,28
100,gaussian,ptm,dummy-0m1g7ab6,81
25,mixture,ptm,dummy-0m8tzxkb,67
50,ptm,ptm,dummy-0mheghfd,51
100,gaussian,ptm,dummy-0mo871oo,1
100,u-shaped,ptm,dummy-0npsoist,44
500,gaussian,ptm,dummy-0o1z3gta,16
100,mixture,ptm,dummy-0o46wrg9,21
50,ptm,ptm,dummy-0ooknuhn,95
25,mixture,ptm,dummy-0oxxhmj6,19
100,u-shaped,ptm,dummy-0p88pc2o,50
500,gaussian,ptm,dummy-0plx0cq0,83
25,ptm,ptm,dummy-0qkzb4xb,100
100,skewnorm,ptm,dummy-0qonnnsh,21
500,mixture,ptm,dummy-0rb879j0,71
50,u-shaped,ptm,dummy-0rpr51yo,55
50,ptm,ptm,dummy-0s3pq1mp,47
500,ptm,ptm,dummy-0sruayz7,30
50,gaussian,ptm,dummy-0u788wz4,25
100,skewnorm,ptm,dummy-0v4qgzxu,50
500,mixture,ptm,dummy-0vk970nn,19
100,mixture,ptm,dummy-0vtopdaj,56
25,skewnorm,ptm,dummy-0xqcfbnt,1
500,gaussian,ptm,dummy-0xvvg6vv,61
500,mixture,ptm,dummy-0ylkmvmh,54
100,ptm,ptm,dummy-0yn9lh2p,79
100,gaussian,ptm,dummy-0z7tds5f,52
100,gaussian,ptm,dummy-0zqrlfug,58
500,mixture,ptm,dummy-0zt2edmb,61
100,mixture,ptm,dummy-10bduh4m,1
50,ptm,ptm,dummy-10oiddd1,19
25,u-shaped,ptm,dummy-10ppd8r3,49
500,ptm,ptm,dummy-10wagvdu,72
500,unif,ptm,dummy-1120h5t2,19
100,gaussian,ptm,dummy-11uc2y92,65
25,skewnorm,ptm,dummy-11y49cy2,43
50,mixture,ptm,dummy-12h413cj,26
50,unif,ptm,dummy-13e8g43u,85
500,mixture,ptm,dummy-13qrdqfm,20
500,skewnorm,ptm,dummy-14pktim6,46
100,unif,ptm,dummy-14r9rdvr,70
25,ptm,ptm,dummy-14rnyfop,36
50,skewnorm,ptm,dummy-14ujfb3h,73
50,ptm,ptm,dummy-15rpqz35,46
25,ptm,ptm,dummy-162679jy,23
500,mixture,ptm,dummy-16a04bme,7
50,ptm,ptm,dummy-16wgdjem,13
100,unif,ptm,dummy-170ggybq,86
50,mixture,ptm,dummy-17nebwds,97
25,ptm,ptm,dummy-17sf8y5o,3
100,ptm,ptm,dummy-18by0k1j,29
100,gaussian,ptm,dummy-18w8mjm3,96
50,u-shaped,ptm,dummy-19tprmvz,48
100,mixture,ptm,dummy-1aaioxfi,13
25,ptm,ptm,dummy-1aduas8i,31
25,mixture,ptm,dummy-1airlhvp,37
50,gaussian,ptm,dummy-1b2fpf8e,16
100,skewnorm,ptm,dummy-1b6dc36f,76
25,skewnorm,ptm,dummy-1c027z0n,10
100,mixture,ptm,dummy-1ckfv8mh,25
25,skewnorm,ptm,dummy-1d0jfgb4,89
500,u-shaped,ptm,dummy-1dvmrswo,22
100,ptm,ptm,dummy-1dx88qji,36
100,mixture,ptm,dummy-1e23tqwk,22
50,gaussian,ptm,dummy-1fnyqtid,91
500,u-shaped,ptm,dummy-1fvy6c1p,15
25,mixture,ptm,dummy-1g08a1be,68
25,mixture,ptm,dummy-1i6wuves,100
25,mixture,ptm,dummy-1iqacgyh,43
500,u-shaped,ptm,dummy-1jf2bc71,3
500,unif,ptm,dummy-1jjo5z9z,10
50,ptm,ptm,dummy-1k4kdr5u,6
500,ptm,ptm,dummy-1mbwqg6h,20
100,ptm,ptm,dummy-1n8k21fu,68
25,gaussian,ptm,dummy-1ordhwyw,96
500,gaussian,ptm,dummy-1pgj1f6d,13
500,u-shaped,ptm,dummy-1pvs8zds,13
25,mixture,ptm,dummy-1pyqytmj,72
25,ptm,ptm,dummy-1q4l7lb8,51
100,mixture,ptm,dummy-1q551bzf,29
500,ptm,ptm,dummy-1raekxny,91
25,u-shaped,ptm,dummy-1rjprim2,65
100,mixture,ptm,dummy-1rppqpta,39
100,u-shaped,ptm,dummy-1skikikv,3
500,ptm,ptm,dummy-1sx1kwcz,24
50,ptm,ptm,dummy-1t0s8i5e,67
25,gaussian,ptm,dummy-1tk01253,44
50,unif,ptm,dummy-1tkgyrhy,75
25,unif,ptm,dummy-1tvqrlwu,20
