index,variable,kernel,error_code,error_msg,phase,count,relative,run,model
0,trafo0_latent,kernel_00,1,divergent transition,warmup,79,0.00394999999999999,dummy-009j1dqx,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,1,2.5e-5,dummy-009j1dqx,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,1,5e-5,dummy-009j1dqx,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-009j1dqx,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,79,0.00394999999999999,dummy-009j1dqx,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,1,2.5e-5,dummy-009j1dqx,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,1,5e-5,dummy-009j1dqx,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-009j1dqx,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-009j1dqx,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-009j1dqx,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,57,0.00285,dummy-01otzo0l,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,54,0.00135,dummy-01otzo0l,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,31,0.00155,dummy-01otzo0l,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,1,2.5e-5,dummy-01otzo0l,ptm
0,trafo0_latent,kernel_00,3,divergent transition + maximum tree depth,warmup,0,0,dummy-01otzo0l,ptm
0,trafo0_latent,kernel_00,3,divergent transition + maximum tree depth,posterior,1,2.5e-5,dummy-01otzo0l,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,57,0.00285,dummy-01otzo0l,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,54,0.00135,dummy-01otzo0l,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,31,0.00155,dummy-01otzo0l,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,1,2.5e-5,dummy-01otzo0l,ptm
0,trafo0_scale_square_transformed,kernel_00,3,divergent transition + maximum tree depth,warmup,0,0,dummy-01otzo0l,ptm
