z,pdf,index,obs,chain,sample,y
-4.918536287292145,2.2717784935623115e-06,0,0,2,0,-5.0
-4.884529896762582,2.683834218431217e-06,1,1,2,0,-4.966666666666667
-4.850523506233017,3.1669642034877925e-06,2,2,2,0,-4.933333333333333
-4.816517115703454,3.732745582007006e-06,3,3,2,0,-4.9
-4.78251072517389,4.394519465726841e-06,4,4,2,0,-4.866666666666667
-4.748504334644325,5.167638935988017e-06,5,5,2,0,-4.833333333333333
-4.714497944114762,6.069748520117673e-06,6,6,2,0,-4.8
-4.680491553585198,7.121098627878897e-06,7,7,2,0,-4.766666666666667
-4.646485163055634,8.3448987291853e-06,8,8,2,0,-4.733333333333333
-4.612535979183047,9.688341842462885e-06,9,9,2,0,-4.7
-4.5791095690923225,1.1087783064673242e-05,10,10,2,0,-4.666666666666667
-4.546308257108332,1.2634725715771092e-05,11,11,2,0,-4.633333333333334
-4.514132043231067,1.433618008772281e-05,12,12,2,0,-4.6
-4.4825809274605355,1.6198225539563547e-05,13,13,2,0,-4.566666666666666
-4.451654909796733,1.8225805745219853e-05,14,14,2,0,-4.533333333333333
-4.421353990239661,2.0422520666884182e-05,15,15,2,0,-4.5
-4.391678168789319,2.2790419018602127e-05,16,16,2,0,-4.466666666666667
-4.362627445445708,2.532979530331166e-05,17,17,2,0,-4.433333333333334
-4.3342018202088255,2.8038995750417398e-05,18,18,2,0,-4.3999999999999995
-4.3064012930786735,3.09142376391358e-05,19,19,2,0,-4.366666666666666
-4.279225864055255,3.394944655628571e-05,20,20,2,0,-4.333333333333333
-4.252675533138564,3.7136116099169725e-05,21,21,2,0,-4.300000000000001
-4.2267503003286055,4.046319439042859e-05,22,22,2,0,-4.266666666666667
-4.201450165625374,4.391700152079064e-05,23,23,2,0,-4.233333333333333
-4.176775129028875,4.748118167869658e-05,24,24,2,0,-4.2
-4.152725190539105,5.1136693267097896e-05,25,25,2,0,-4.166666666666666
-4.129300350156068,5.4861839754110963e-05,26,26,2,0,-4.133333333333333
-4.10650060787976,5.863234336527777e-05,27,27,2,0,-4.1000000000000005
-4.084325963710181,6.242146301274295e-05,28,28,2,0,-4.066666666666666
-4.062776417647334,6.620015708477325e-05,29,29,2,0,-4.033333333333333
