index,variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,y,pdf
602,prob,prob[0],"(0,)",2000,3.204162141866234e-06,1.9475026029334965e-12,1.395529506292682e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,4.420358545309966e-08,3.040718436794169e-08,1.1600032194220628e-06,3.074317466638606e-06,5.8029285906551915e-06,1.0842894553649824e-06,5.659176298968906e-06,-5.0,3.204162141866234e-06
603,prob,prob[1],"(1,)",2000,3.773597938050326e-06,2.6673698730509404e-12,1.6332084597659113e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,5.16906516170961e-08,3.549970353372563e-08,1.3767016514999896e-06,3.6243012796254392e-06,6.810268157331241e-06,1.287427797148568e-06,6.6427603970352946e-06,-4.966666666666667,3.773597938050326e-06
604,prob,prob[2],"(2,)",2000,4.43913303336477e-06,3.644618340138631e-12,1.90908835315148e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,6.0373615363819e-08,4.139642967864117e-08,1.6319928025655863e-06,4.267736911392401e-06,7.983235964689465e-06,1.5268567599892082e-06,7.788282908722244e-06,-4.933333333333333,4.43913303336477e-06
605,prob,prob[3],"(3,)",2000,5.216054217885591e-06,4.968026893117474e-12,2.2289071073325316e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,7.043082042003482e-08,4.8215941006246124e-08,1.9323883548465313e-06,5.0195958622963825e-06,9.347414175434143e-06,1.8883729096104961e-06,9.200390265225759e-06,-4.9,5.216054217885591e-06
606,prob,prob[4],"(4,)",2000,6.121917111890982e-06,6.755823929058083e-12,2.599196785366218e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,8.20650828267873e-08,5.6092909513690766e-08,2.2854322476584156e-06,5.897088331017686e-06,1.0932054127341913e-05,2.233728557463254e-06,1.0761360398963745e-05,-4.866666666666667,6.121917111890982e-06
607,prob,prob[5],"(5,)",2000,7.176855694307543e-06,9.165045633111198e-12,3.027382637380217e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,9.550671013713261e-08,6.518006703549808e-08,2.6998526187115225e-06,6.91997109240131e-06,1.2770556627629925e-05,2.639190859855842e-06,1.2572622315874697e-05,-4.833333333333333,7.176855694307543e-06
608,prob,prob[6],"(6,)",2000,8.40392973306166e-06,1.240372917709999e-11,3.5218928400932346e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,1.1101684169210073e-07,7.565037894419353e-08,3.1857341449260696e-06,8.110893413059772e-06,1.49010079997722e-05,3.1146479640427897e-06,1.4671763896193086e-05,-4.8,8.40392973306166e-06
609,prob,prob[7],"(7,)",2000,9.829514104499884e-06,1.674675432373344e-11,4.092279844259608e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,1.2889113667594005e-07,8.769944282895227e-08,3.7547132070766908e-06,9.495785049136573e-06,1.7366777307174596e-05,3.6715115843416944e-06,1.7101592606293014e-05,-4.766666666666667,9.829514104499884e-06
610,prob,prob[8],"(8,)",2000,1.1483734314058827e-05,2.2556366143933304e-11,4.749354287051378e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,1.494638378186102e-07,1.0154813028272708e-07,4.4201985427212024e-06,1.110429070541323e-05,2.0217180558217784e-05,4.3229340022819375e-06,1.9910792675946323e-05,-4.733333333333333,1.1483734314058827e-05
611,prob,prob[9],"(9,)",2000,1.3236062386101954e-05,2.9016623694898812e-11,5.386708057329524e-06,1.0015166449187651,1053.0316851426492,849.1087425597552,1.6918611131534443e-07,1.1455377502830755e-07,5.188290590692329e-06,1.2827221536515011e-05,2.31030431680187e-05,5.076039089988151e-06,2.2759285988831287e-05,-4.7,1.3236062386101954e-05
