data_seed,data_type,ntrain
1,gaussian,250
1,gaussian,500
1,gaussian,1000
1,mixture,250
1,mixture,500
1,mixture,1000
1,skewnorm,250
1,skewnorm,500
1,skewnorm,1000
1,ptm,250
1,ptm,500
1,ptm,1000
2,gaussian,250
2,gaussian,500
2,gaussian,1000
2,mixture,250
2,mixture,500
2,mixture,1000
2,skewnorm,250
2,skewnorm,500
2,skewnorm,1000
2,ptm,250
2,ptm,500
2,ptm,1000
3,gaussian,250
3,gaussian,500
3,gaussian,1000
3,mixture,250
3,mixture,500
3,mixture,1000
3,skewnorm,250
3,skewnorm,500
3,skewnorm,1000
3,ptm,250
3,ptm,500
3,ptm,1000
4,gaussian,250
4,gaussian,500
4,gaussian,1000
4,mixture,250
4,mixture,500
4,mixture,1000
4,skewnorm,250
4,skewnorm,500
4,skewnorm,1000
4,ptm,250
4,ptm,500
4,ptm,1000
5,gaussian,250
5,gaussian,500
5,gaussian,1000
5,mixture,250
5,mixture,500
5,mixture,1000
5,skewnorm,250
5,skewnorm,500
5,skewnorm,1000
5,ptm,250
5,ptm,500
5,ptm,1000
6,gaussian,250
6,gaussian,500
6,gaussian,1000
6,mixture,250
6,mixture,500
6,mixture,1000
6,skewnorm,250
6,skewnorm,500
6,skewnorm,1000
6,ptm,250
6,ptm,500
6,ptm,1000
7,gaussian,250
7,gaussian,500
7,gaussian,1000
7,mixture,250
7,mixture,500
7,mixture,1000
7,skewnorm,250
7,skewnorm,500
7,skewnorm,1000
7,ptm,250
7,ptm,500
7,ptm,1000
8,gaussian,250
8,gaussian,500
8,gaussian,1000
8,mixture,250
8,mixture,500
8,mixture,1000
8,skewnorm,250
8,skewnorm,500
8,skewnorm,1000
8,ptm,250
8,ptm,500
8,ptm,1000
9,gaussian,250
9,gaussian,500
9,gaussian,1000
9,mixture,250
9,mixture,500
9,mixture,1000
9,skewnorm,250
9,skewnorm,500
9,skewnorm,1000
9,ptm,250
9,ptm,500
9,ptm,1000
10,gaussian,250
10,gaussian,500
10,gaussian,1000
10,mixture,250
10,mixture,500
10,mixture,1000
10,skewnorm,250
10,skewnorm,500
10,skewnorm,1000
10,ptm,250
10,ptm,500
10,ptm,1000
11,gaussian,250
11,gaussian,500
11,gaussian,1000
11,mixture,250
11,mixture,500
11,mixture,1000
11,skewnorm,250
11,skewnorm,500
11,skewnorm,1000
