kernel,error_code,error_msg,phase,count,relative,data_type,data_seed,model,ntrain,ntest,job,run,index,mcmc_strategy,apply_jitter
kernel_00,1,divergent transition,warmup,150,0.00750000029802322,gaussian,1,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085240,NA,NA,NA
kernel_00,1,divergent transition,posterior,104,0.0052000000141561,gaussian,1,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085240,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3723,0.18615001440048215,gaussian,1,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085240,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2483,0.12415000796318054,gaussian,1,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085240,NA,NA,NA
kernel_00,1,divergent transition,warmup,205,0.01025000028312206,gaussian,1,bctm-locshift,250,5000,004-bctm-locshift,20250904-083245,NA,NA,NA
kernel_00,1,divergent transition,posterior,431,0.0215499997138977,gaussian,1,bctm-locshift,250,5000,004-bctm-locshift,20250904-083245,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,5502,0.2750999927520752,gaussian,1,bctm-locshift,250,5000,004-bctm-locshift,20250904-083245,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,4706,0.2353000044822693,gaussian,1,bctm-locshift,250,5000,004-bctm-locshift,20250904-083245,NA,NA,NA
kernel_00,1,divergent transition,warmup,182,0.00909999944269657,gaussian,1,bctm-locshift,500,5000,004-bctm-locshift,20250904-084201,NA,NA,NA
kernel_00,1,divergent transition,posterior,336,0.01679999940097332,gaussian,1,bctm-locshift,500,5000,004-bctm-locshift,20250904-084201,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4611,0.23054999113082889,gaussian,1,bctm-locshift,500,5000,004-bctm-locshift,20250904-084201,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,4259,0.2129499912261963,gaussian,1,bctm-locshift,500,5000,004-bctm-locshift,20250904-084201,NA,NA,NA
kernel_00,1,divergent transition,warmup,101,0.00504999980330467,gaussian,2,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085412,NA,NA,NA
kernel_00,1,divergent transition,posterior,9,4.5000002137385e-4,gaussian,2,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085412,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3714,0.1856999844312668,gaussian,2,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085412,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3110,0.15550000965595245,gaussian,2,bctm-locshift,1000,5000,004-bctm-locshift,20250904-085412,NA,NA,NA
kernel_00,1,divergent transition,warmup,157,0.00784999970346689,gaussian,2,bctm-locshift,250,5000,004-bctm-locshift,20250904-082928,NA,NA,NA
kernel_00,1,divergent transition,posterior,95,0.00474999984726309,gaussian,2,bctm-locshift,250,5000,004-bctm-locshift,20250904-082928,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4244,0.21220000088214871,gaussian,2,bctm-locshift,250,5000,004-bctm-locshift,20250904-082928,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3025,0.15125000476837158,gaussian,2,bctm-locshift,250,5000,004-bctm-locshift,20250904-082928,NA,NA,NA
kernel_00,1,divergent transition,warmup,100,0.00499999988824129,gaussian,2,bctm-locshift,500,5000,004-bctm-locshift,20250904-084035,NA,NA,NA
kernel_00,1,divergent transition,posterior,30,0.00150000001303851,gaussian,2,bctm-locshift,500,5000,004-bctm-locshift,20250904-084035,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4616,0.23080000281333923,gaussian,2,bctm-locshift,500,5000,004-bctm-locshift,20250904-084035,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,4044,0.2021999955177307,gaussian,2,bctm-locshift,500,5000,004-bctm-locshift,20250904-084035,NA,NA,NA
kernel_00,1,divergent transition,warmup,111,0.00554999988526105,gaussian,3,bctm-locshift,1000,5000,004-bctm-locshift,20250904-084957,NA,NA,NA
kernel_00,1,divergent transition,posterior,68,0.00340000004507601,gaussian,3,bctm-locshift,1000,5000,004-bctm-locshift,20250904-084957,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2660,0.1330000013113022,gaussian,3,bctm-locshift,1000,5000,004-bctm-locshift,20250904-084957,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2408,0.12040000408887865,gaussian,3,bctm-locshift,1000,5000,004-bctm-locshift,20250904-084957,NA,NA,NA
kernel_00,1,divergent transition,warmup,148,0.00740000046789646,gaussian,3,bctm-locshift,250,5000,004-bctm-locshift,20250904-083409,NA,NA,NA
kernel_00,1,divergent transition,posterior,139,0.00695000030100345,gaussian,3,bctm-locshift,250,5000,004-bctm-locshift,20250904-083409,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,7247,0.3623499870300293,gaussian,3,bctm-locshift,250,5000,004-bctm-locshift,20250904-083409,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,6160,0.30799996852874756,gaussian,3,bctm-locshift,250,5000,004-bctm-locshift,20250904-083409,NA,NA,NA
kernel_00,1,divergent transition,warmup,151,0.0075500002130866,gaussian,3,bctm-locshift,500,5000,004-bctm-locshift,20250904-083911,NA,NA,NA
kernel_00,1,divergent transition,posterior,205,0.01024999935179948,gaussian,3,bctm-locshift,500,5000,004-bctm-locshift,20250904-083911,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3906,0.19530001282691956,gaussian,3,bctm-locshift,500,5000,004-bctm-locshift,20250904-083911,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3045,0.1522500067949295,gaussian,3,bctm-locshift,500,5000,004-bctm-locshift,20250904-083911,NA,NA,NA
kernel_00,1,divergent transition,warmup,99,0.00494999997317791,gaussian,4,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093330,NA,NA,NA
kernel_00,1,divergent transition,posterior,15,7.5000000651925e-4,gaussian,4,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093330,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,2701,0.1350499987602234,gaussian,4,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093330,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2651,0.13255000114440918,gaussian,4,bctm-locshift,1000,5000,004-bctm-locshift,20250904-093330,NA,NA,NA
kernel_00,1,divergent transition,warmup,114,0.0056999996304512,gaussian,4,bctm-locshift,250,5000,004-bctm-locshift,20250904-090359,NA,NA,NA
kernel_00,1,divergent transition,posterior,31,0.00155000004451721,gaussian,4,bctm-locshift,250,5000,004-bctm-locshift,20250904-090359,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3698,0.18490000069141388,gaussian,4,bctm-locshift,250,5000,004-bctm-locshift,20250904-090359,NA,NA,NA
