data_seed,data_type,ntrain
1,ptm,250
1,ptm,500
1,ptm,1000
2,ptm,250
2,ptm,500
2,ptm,1000
3,ptm,250
3,ptm,500
3,ptm,1000
4,ptm,250
4,ptm,500
4,ptm,1000
5,ptm,250
5,ptm,500
5,ptm,1000
6,ptm,250
6,ptm,500
6,ptm,1000
7,ptm,250
7,ptm,500
7,ptm,1000
8,ptm,250
8,ptm,500
8,ptm,1000
9,ptm,250
9,ptm,500
9,ptm,1000
10,ptm,250
10,ptm,500
10,ptm,1000
11,ptm,250
11,ptm,500
11,ptm,1000
12,ptm,250
12,ptm,500
12,ptm,1000
13,ptm,250
13,ptm,500
13,ptm,1000
14,ptm,250
14,ptm,500
14,ptm,1000
15,ptm,250
15,ptm,500
15,ptm,1000
16,ptm,250
16,ptm,500
16,ptm,1000
17,ptm,250
17,ptm,500
17,ptm,1000
18,ptm,250
18,ptm,500
18,ptm,1000
19,ptm,250
19,ptm,500
19,ptm,1000
20,ptm,250
20,ptm,500
20,ptm,1000
21,ptm,250
21,ptm,500
21,ptm,1000
22,ptm,250
22,ptm,500
22,ptm,1000
23,ptm,250
23,ptm,500
23,ptm,1000
24,ptm,250
24,ptm,500
24,ptm,1000
25,ptm,250
25,ptm,500
25,ptm,1000
26,ptm,250
26,ptm,500
26,ptm,1000
27,ptm,250
27,ptm,500
27,ptm,1000
28,ptm,250
28,ptm,500
28,ptm,1000
29,ptm,250
29,ptm,500
29,ptm,1000
30,ptm,250
30,ptm,500
30,ptm,1000
31,ptm,250
31,ptm,500
31,ptm,1000
32,ptm,250
32,ptm,500
32,ptm,1000
33,ptm,250
33,ptm,500
33,ptm,1000
34,ptm,250
34,ptm,500
34,ptm,1000
35,ptm,250
35,ptm,500
35,ptm,1000
36,ptm,250
36,ptm,500
36,ptm,1000
37,ptm,250
37,ptm,500
37,ptm,1000
38,ptm,250
38,ptm,500
38,ptm,1000
39,ptm,250
39,ptm,500
39,ptm,1000
40,ptm,250
40,ptm,500
40,ptm,1000
41,ptm,250
41,ptm,500
41,ptm,1000
42,ptm,250
42,ptm,500
42,ptm,1000
43,ptm,250
43,ptm,500
43,ptm,1000
44,ptm,250
44,ptm,500
44,ptm,1000
45,ptm,250
45,ptm,500
45,ptm,1000
46,ptm,250
46,ptm,500
46,ptm,1000
47,ptm,250
47,ptm,500
47,ptm,1000
48,ptm,250
48,ptm,500
48,ptm,1000
49,ptm,250
49,ptm,500
49,ptm,1000
50,ptm,250
50,ptm,500
50,ptm,1000
51,ptm,250
51,ptm,500
51,ptm,1000
52,ptm,250
52,ptm,500
52,ptm,1000
53,ptm,250
53,ptm,500
53,ptm,1000
54,ptm,250
54,ptm,500
54,ptm,1000
55,ptm,250
55,ptm,500
55,ptm,1000
56,ptm,250
56,ptm,500
56,ptm,1000
57,ptm,250
57,ptm,500
57,ptm,1000
58,ptm,250
58,ptm,500
58,ptm,1000
59,ptm,250
59,ptm,500
59,ptm,1000
60,ptm,250
60,ptm,500
60,ptm,1000
61,ptm,250
61,ptm,500
61,ptm,1000
62,ptm,250
62,ptm,500
62,ptm,1000
63,ptm,250
63,ptm,500
63,ptm,1000
64,ptm,250
64,ptm,500
64,ptm,1000
65,ptm,250
65,ptm,500
65,ptm,1000
66,ptm,250
66,ptm,500
66,ptm,1000
67,ptm,250
67,ptm,500
67,ptm,1000
68,ptm,250
68,ptm,500
68,ptm,1000
69,ptm,250
69,ptm,500
69,ptm,1000
70,ptm,250
70,ptm,500
70,ptm,1000
71,ptm,250
71,ptm,500
71,ptm,1000
72,ptm,250
72,ptm,500
72,ptm,1000
73,ptm,250
73,ptm,500
73,ptm,1000
74,ptm,250
74,ptm,500
74,ptm,1000
75,ptm,250
75,ptm,500
75,ptm,1000
76,ptm,250
76,ptm,500
76,ptm,1000
77,ptm,250
77,ptm,500
77,ptm,1000
78,ptm,250
78,ptm,500
78,ptm,1000
79,ptm,250
79,ptm,500
79,ptm,1000
80,ptm,250
80,ptm,500
80,ptm,1000
81,ptm,250
81,ptm,500
81,ptm,1000
82,ptm,250
82,ptm,500
82,ptm,1000
83,ptm,250
83,ptm,500
83,ptm,1000
84,ptm,250
84,ptm,500
84,ptm,1000
85,ptm,250
85,ptm,500
85,ptm,1000
86,ptm,250
86,ptm,500
86,ptm,1000
87,ptm,250
87,ptm,500
87,ptm,1000
88,ptm,250
88,ptm,500
88,ptm,1000
89,ptm,250
89,ptm,500
89,ptm,1000
90,ptm,250
90,ptm,500
90,ptm,1000
91,ptm,250
91,ptm,500
91,ptm,1000
92,ptm,250
92,ptm,500
92,ptm,1000
93,ptm,250
93,ptm,500
93,ptm,1000
94,ptm,250
94,ptm,500
94,ptm,1000
95,ptm,250
95,ptm,500
95,ptm,1000
96,ptm,250
96,ptm,500
96,ptm,1000
97,ptm,250
97,ptm,500
97,ptm,1000
98,ptm,250
98,ptm,500
98,ptm,1000
99,ptm,250
99,ptm,500
99,ptm,1000
100,ptm,250
100,ptm,500
100,ptm,1000
