data_seed,data_type,ntrain,mcmc_strategy,apply_jitter
1,gaussian,250,iwls-nuts,FALSE
1,gaussian,500,iwls-nuts,FALSE
1,gaussian,1000,iwls-nuts,FALSE
1,mixture,250,iwls-nuts,FALSE
1,mixture,500,iwls-nuts,FALSE
1,mixture,1000,iwls-nuts,FALSE
1,skewnorm,250,iwls-nuts,FALSE
1,skewnorm,500,iwls-nuts,FALSE
1,skewnorm,1000,iwls-nuts,FALSE
1,ptm,250,iwls-nuts,FALSE
1,ptm,500,iwls-nuts,FALSE
1,ptm,1000,iwls-nuts,FALSE
2,gaussian,250,iwls-nuts,FALSE
2,gaussian,500,iwls-nuts,FALSE
2,gaussian,1000,iwls-nuts,FALSE
2,mixture,250,iwls-nuts,FALSE
2,mixture,500,iwls-nuts,FALSE
2,mixture,1000,iwls-nuts,FALSE
2,skewnorm,250,iwls-nuts,FALSE
2,skewnorm,500,iwls-nuts,FALSE
2,skewnorm,1000,iwls-nuts,FALSE
2,ptm,250,iwls-nuts,FALSE
2,ptm,500,iwls-nuts,FALSE
2,ptm,1000,iwls-nuts,FALSE
3,gaussian,250,iwls-nuts,FALSE
3,gaussian,500,iwls-nuts,FALSE
3,gaussian,1000,iwls-nuts,FALSE
3,mixture,250,iwls-nuts,FALSE
3,mixture,500,iwls-nuts,FALSE
3,mixture,1000,iwls-nuts,FALSE
3,skewnorm,250,iwls-nuts,FALSE
3,skewnorm,500,iwls-nuts,FALSE
3,skewnorm,1000,iwls-nuts,FALSE
3,ptm,250,iwls-nuts,FALSE
3,ptm,500,iwls-nuts,FALSE
3,ptm,1000,iwls-nuts,FALSE
4,gaussian,250,iwls-nuts,FALSE
4,gaussian,500,iwls-nuts,FALSE
4,gaussian,1000,iwls-nuts,FALSE
4,mixture,250,iwls-nuts,FALSE
4,mixture,500,iwls-nuts,FALSE
4,mixture,1000,iwls-nuts,FALSE
4,skewnorm,250,iwls-nuts,FALSE
4,skewnorm,500,iwls-nuts,FALSE
4,skewnorm,1000,iwls-nuts,FALSE
4,ptm,250,iwls-nuts,FALSE
4,ptm,500,iwls-nuts,FALSE
4,ptm,1000,iwls-nuts,FALSE
5,gaussian,250,iwls-nuts,FALSE
5,gaussian,500,iwls-nuts,FALSE
5,gaussian,1000,iwls-nuts,FALSE
5,mixture,250,iwls-nuts,FALSE
5,mixture,500,iwls-nuts,FALSE
5,mixture,1000,iwls-nuts,FALSE
5,skewnorm,250,iwls-nuts,FALSE
5,skewnorm,500,iwls-nuts,FALSE
5,skewnorm,1000,iwls-nuts,FALSE
5,ptm,250,iwls-nuts,FALSE
5,ptm,500,iwls-nuts,FALSE
5,ptm,1000,iwls-nuts,FALSE
6,gaussian,250,iwls-nuts,FALSE
6,gaussian,500,iwls-nuts,FALSE
6,gaussian,1000,iwls-nuts,FALSE
6,mixture,250,iwls-nuts,FALSE
6,mixture,500,iwls-nuts,FALSE
6,mixture,1000,iwls-nuts,FALSE
6,skewnorm,250,iwls-nuts,FALSE
6,skewnorm,500,iwls-nuts,FALSE
6,skewnorm,1000,iwls-nuts,FALSE
6,ptm,250,iwls-nuts,FALSE
6,ptm,500,iwls-nuts,FALSE
6,ptm,1000,iwls-nuts,FALSE
7,gaussian,250,iwls-nuts,FALSE
7,gaussian,500,iwls-nuts,FALSE
7,gaussian,1000,iwls-nuts,FALSE
7,mixture,250,iwls-nuts,FALSE
7,mixture,500,iwls-nuts,FALSE
7,mixture,1000,iwls-nuts,FALSE
7,skewnorm,250,iwls-nuts,FALSE
7,skewnorm,500,iwls-nuts,FALSE
7,skewnorm,1000,iwls-nuts,FALSE
7,ptm,250,iwls-nuts,FALSE
7,ptm,500,iwls-nuts,FALSE
7,ptm,1000,iwls-nuts,FALSE
8,gaussian,250,iwls-nuts,FALSE
8,gaussian,500,iwls-nuts,FALSE
8,gaussian,1000,iwls-nuts,FALSE
8,mixture,250,iwls-nuts,FALSE
8,mixture,500,iwls-nuts,FALSE
8,mixture,1000,iwls-nuts,FALSE
8,skewnorm,250,iwls-nuts,FALSE
8,skewnorm,500,iwls-nuts,FALSE
8,skewnorm,1000,iwls-nuts,FALSE
8,ptm,250,iwls-nuts,FALSE
8,ptm,500,iwls-nuts,FALSE
8,ptm,1000,iwls-nuts,FALSE
9,gaussian,250,iwls-nuts,FALSE
9,gaussian,500,iwls-nuts,FALSE
9,gaussian,1000,iwls-nuts,FALSE
9,mixture,250,iwls-nuts,FALSE
9,mixture,500,iwls-nuts,FALSE
9,mixture,1000,iwls-nuts,FALSE
9,skewnorm,250,iwls-nuts,FALSE
9,skewnorm,500,iwls-nuts,FALSE
9,skewnorm,1000,iwls-nuts,FALSE
9,ptm,250,iwls-nuts,FALSE
9,ptm,500,iwls-nuts,FALSE
9,ptm,1000,iwls-nuts,FALSE
10,gaussian,250,iwls-nuts,FALSE
10,gaussian,500,iwls-nuts,FALSE
10,gaussian,1000,iwls-nuts,FALSE
10,mixture,250,iwls-nuts,FALSE
10,mixture,500,iwls-nuts,FALSE
10,mixture,1000,iwls-nuts,FALSE
10,skewnorm,250,iwls-nuts,FALSE
10,skewnorm,500,iwls-nuts,FALSE
10,skewnorm,1000,iwls-nuts,FALSE
10,ptm,250,iwls-nuts,FALSE
10,ptm,500,iwls-nuts,FALSE
10,ptm,1000,iwls-nuts,FALSE
11,gaussian,250,iwls-nuts,FALSE
11,gaussian,500,iwls-nuts,FALSE
11,gaussian,1000,iwls-nuts,FALSE
11,mixture,250,iwls-nuts,FALSE
11,mixture,500,iwls-nuts,FALSE
11,mixture,1000,iwls-nuts,FALSE
11,skewnorm,250,iwls-nuts,FALSE
11,skewnorm,500,iwls-nuts,FALSE
11,skewnorm,1000,iwls-nuts,FALSE
11,ptm,250,iwls-nuts,FALSE
11,ptm,500,iwls-nuts,FALSE
11,ptm,1000,iwls-nuts,FALSE
12,gaussian,250,iwls-nuts,FALSE
12,gaussian,500,iwls-nuts,FALSE
12,gaussian,1000,iwls-nuts,FALSE
12,mixture,250,iwls-nuts,FALSE
12,mixture,500,iwls-nuts,FALSE
12,mixture,1000,iwls-nuts,FALSE
12,skewnorm,250,iwls-nuts,FALSE
12,skewnorm,500,iwls-nuts,FALSE
12,skewnorm,1000,iwls-nuts,FALSE
12,ptm,250,iwls-nuts,FALSE
12,ptm,500,iwls-nuts,FALSE
12,ptm,1000,iwls-nuts,FALSE
13,gaussian,250,iwls-nuts,FALSE
13,gaussian,500,iwls-nuts,FALSE
13,gaussian,1000,iwls-nuts,FALSE
13,mixture,250,iwls-nuts,FALSE
13,mixture,500,iwls-nuts,FALSE
13,mixture,1000,iwls-nuts,FALSE
13,skewnorm,250,iwls-nuts,FALSE
13,skewnorm,500,iwls-nuts,FALSE
13,skewnorm,1000,iwls-nuts,FALSE
13,ptm,250,iwls-nuts,FALSE
13,ptm,500,iwls-nuts,FALSE
13,ptm,1000,iwls-nuts,FALSE
14,gaussian,250,iwls-nuts,FALSE
14,gaussian,500,iwls-nuts,FALSE
14,gaussian,1000,iwls-nuts,FALSE
14,mixture,250,iwls-nuts,FALSE
14,mixture,500,iwls-nuts,FALSE
14,mixture,1000,iwls-nuts,FALSE
14,skewnorm,250,iwls-nuts,FALSE
14,skewnorm,500,iwls-nuts,FALSE
14,skewnorm,1000,iwls-nuts,FALSE
14,ptm,250,iwls-nuts,FALSE
14,ptm,500,iwls-nuts,FALSE
14,ptm,1000,iwls-nuts,FALSE
15,gaussian,250,iwls-nuts,FALSE
