data_seed,data_type,ntrain,mcmc_strategy,apply_jitter
1,ptm,250,iwls-nuts,FALSE
1,ptm,500,iwls-nuts,FALSE
1,ptm,1000,iwls-nuts,FALSE
2,ptm,250,iwls-nuts,FALSE
2,ptm,500,iwls-nuts,FALSE
2,ptm,1000,iwls-nuts,FALSE
3,ptm,250,iwls-nuts,FALSE
3,ptm,500,iwls-nuts,FALSE
3,ptm,1000,iwls-nuts,FALSE
4,ptm,250,iwls-nuts,FALSE
4,ptm,500,iwls-nuts,FALSE
4,ptm,1000,iwls-nuts,FALSE
5,ptm,250,iwls-nuts,FALSE
5,ptm,500,iwls-nuts,FALSE
5,ptm,1000,iwls-nuts,FALSE
6,ptm,250,iwls-nuts,FALSE
6,ptm,500,iwls-nuts,FALSE
6,ptm,1000,iwls-nuts,FALSE
7,ptm,250,iwls-nuts,FALSE
7,ptm,500,iwls-nuts,FALSE
7,ptm,1000,iwls-nuts,FALSE
8,ptm,250,iwls-nuts,FALSE
8,ptm,500,iwls-nuts,FALSE
8,ptm,1000,iwls-nuts,FALSE
9,ptm,250,iwls-nuts,FALSE
9,ptm,500,iwls-nuts,FALSE
9,ptm,1000,iwls-nuts,FALSE
10,ptm,250,iwls-nuts,FALSE
10,ptm,500,iwls-nuts,FALSE
10,ptm,1000,iwls-nuts,FALSE
11,ptm,250,iwls-nuts,FALSE
11,ptm,500,iwls-nuts,FALSE
11,ptm,1000,iwls-nuts,FALSE
12,ptm,250,iwls-nuts,FALSE
12,ptm,500,iwls-nuts,FALSE
12,ptm,1000,iwls-nuts,FALSE
13,ptm,250,iwls-nuts,FALSE
13,ptm,500,iwls-nuts,FALSE
13,ptm,1000,iwls-nuts,FALSE
14,ptm,250,iwls-nuts,FALSE
14,ptm,500,iwls-nuts,FALSE
14,ptm,1000,iwls-nuts,FALSE
15,ptm,250,iwls-nuts,FALSE
15,ptm,500,iwls-nuts,FALSE
15,ptm,1000,iwls-nuts,FALSE
16,ptm,250,iwls-nuts,FALSE
16,ptm,500,iwls-nuts,FALSE
16,ptm,1000,iwls-nuts,FALSE
17,ptm,250,iwls-nuts,FALSE
17,ptm,500,iwls-nuts,FALSE
17,ptm,1000,iwls-nuts,FALSE
18,ptm,250,iwls-nuts,FALSE
18,ptm,500,iwls-nuts,FALSE
18,ptm,1000,iwls-nuts,FALSE
19,ptm,250,iwls-nuts,FALSE
19,ptm,500,iwls-nuts,FALSE
19,ptm,1000,iwls-nuts,FALSE
20,ptm,250,iwls-nuts,FALSE
20,ptm,500,iwls-nuts,FALSE
20,ptm,1000,iwls-nuts,FALSE
1,gaussian,250,iwls-nuts,FALSE
1,gaussian,500,iwls-nuts,FALSE
1,gaussian,1000,iwls-nuts,FALSE
1,mixture,250,iwls-nuts,FALSE
1,mixture,500,iwls-nuts,FALSE
1,mixture,1000,iwls-nuts,FALSE
1,skewnorm,250,iwls-nuts,FALSE
1,skewnorm,500,iwls-nuts,FALSE
1,skewnorm,1000,iwls-nuts,FALSE
2,gaussian,250,iwls-nuts,FALSE
2,gaussian,500,iwls-nuts,FALSE
2,gaussian,1000,iwls-nuts,FALSE
2,mixture,250,iwls-nuts,FALSE
2,mixture,500,iwls-nuts,FALSE
2,mixture,1000,iwls-nuts,FALSE
2,skewnorm,250,iwls-nuts,FALSE
2,skewnorm,500,iwls-nuts,FALSE
2,skewnorm,1000,iwls-nuts,FALSE
