data_seed,data_type,ntrain,mcmc_strategy,apply_jitter,igprior
1,gaussian,250,iwls-nuts,FALSE,"1,0.005"
1,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
1,gaussian,500,iwls-nuts,FALSE,"1,0.005"
1,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
1,mixture,250,iwls-nuts,FALSE,"1,0.005"
1,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
1,mixture,500,iwls-nuts,FALSE,"1,0.005"
1,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
1,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
1,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
1,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
1,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
1,ptm,250,iwls-nuts,FALSE,"1,0.005"
1,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
1,ptm,500,iwls-nuts,FALSE,"1,0.005"
1,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
2,gaussian,250,iwls-nuts,FALSE,"1,0.005"
2,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
2,gaussian,500,iwls-nuts,FALSE,"1,0.005"
2,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
2,mixture,250,iwls-nuts,FALSE,"1,0.005"
2,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
2,mixture,500,iwls-nuts,FALSE,"1,0.005"
2,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
2,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
2,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
2,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
2,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
2,ptm,250,iwls-nuts,FALSE,"1,0.005"
2,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
2,ptm,500,iwls-nuts,FALSE,"1,0.005"
2,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
3,gaussian,250,iwls-nuts,FALSE,"1,0.005"
3,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
3,gaussian,500,iwls-nuts,FALSE,"1,0.005"
3,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
3,mixture,250,iwls-nuts,FALSE,"1,0.005"
3,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
3,mixture,500,iwls-nuts,FALSE,"1,0.005"
3,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
3,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
3,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
3,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
3,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
3,ptm,250,iwls-nuts,FALSE,"1,0.005"
3,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
3,ptm,500,iwls-nuts,FALSE,"1,0.005"
3,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
4,gaussian,250,iwls-nuts,FALSE,"1,0.005"
4,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
4,gaussian,500,iwls-nuts,FALSE,"1,0.005"
4,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
4,mixture,250,iwls-nuts,FALSE,"1,0.005"
4,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
4,mixture,500,iwls-nuts,FALSE,"1,0.005"
4,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
4,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
4,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
4,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
4,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
4,ptm,250,iwls-nuts,FALSE,"1,0.005"
4,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
4,ptm,500,iwls-nuts,FALSE,"1,0.005"
4,ptm,500,iwls-nuts,FALSE,"0.01,0.01"
5,gaussian,250,iwls-nuts,FALSE,"1,0.005"
5,gaussian,250,iwls-nuts,FALSE,"0.01,0.01"
5,gaussian,500,iwls-nuts,FALSE,"1,0.005"
5,gaussian,500,iwls-nuts,FALSE,"0.01,0.01"
5,mixture,250,iwls-nuts,FALSE,"1,0.005"
5,mixture,250,iwls-nuts,FALSE,"0.01,0.01"
5,mixture,500,iwls-nuts,FALSE,"1,0.005"
5,mixture,500,iwls-nuts,FALSE,"0.01,0.01"
5,skewnorm,250,iwls-nuts,FALSE,"1,0.005"
5,skewnorm,250,iwls-nuts,FALSE,"0.01,0.01"
5,skewnorm,500,iwls-nuts,FALSE,"1,0.005"
5,skewnorm,500,iwls-nuts,FALSE,"0.01,0.01"
5,ptm,250,iwls-nuts,FALSE,"1,0.005"
5,ptm,250,iwls-nuts,FALSE,"0.01,0.01"
5,ptm,500,iwls-nuts,FALSE,"1,0.005"
