xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
0,-4.3853809472693676e-18,0.03047652026782657,0.07180681787172949,0.76400006,0.5453313042002349,loc,gaussian,1,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
1,-1.1191048088221578e-16,0.02895814613053788,0.04570335324194392,1,0.536850585733786,loc,gaussian,1,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
2,1.221245327087672e-17,0.0710038756665855,0.129984245339485,0.85200006,0.8398560241909266,loc,gaussian,1,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
3,8.970602038971264e-17,0.03816560757517946,0.12791049236158256,0.75600004,0.6302594991652236,loc,gaussian,1,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
0,1.5543122344752192e-18,0.02653130475981041,0.0512540836109749,0.93000007,0.5229680969998218,scale,gaussian,1,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
1,4.4408920985006255e-18,0.02303375871004433,0.05580409338664023,0.874,0.4887038882862446,scale,gaussian,1,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
2,2.886579864025407e-18,0.02551002236664383,0.05798962012156513,0.84200007,0.5199449984282666,scale,gaussian,1,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
3,-1.5543122344752192e-18,0.02180177670499199,0.04122424946089689,0.89000005,0.473715346393218,scale,gaussian,1,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-100714,iwls-nuts,FALSE,0.01,0.01
0,-4.218847493575595e-18,0.01526050777076139,0.03662209387487498,0.74600005,0.3856849626669538,loc,gaussian,1,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101145,iwls-nuts,FALSE,1,0.005
1,-1.127986593019159e-16,0.01659053208407787,0.03002861784786493,0.90200007,0.4017685776971771,loc,gaussian,1,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101145,iwls-nuts,FALSE,1,0.005
2,1.1768364061026659e-17,0.03833844018763337,0.0814372569609118,0.832,0.6116760648401496,loc,gaussian,1,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101145,iwls-nuts,FALSE,1,0.005
3,8.482103908136196e-17,0.02626403830738549,0.05047017280764384,0.90400004,0.520052703565113,loc,gaussian,1,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101145,iwls-nuts,FALSE,1,0.005
0,5.329070518200751e-18,0.00865632680168008,0.0252739573830945,0.68600005,0.2991171207025879,scale,gaussian,1,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101145,iwls-nuts,FALSE,1,0.005
1,5.8841820305133295e-18,0.00835338321004565,0.02166925391160118,0.87000006,0.2952680415389215,scale,gaussian,1,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101145,iwls-nuts,FALSE,1,0.005
2,7.105427357601002e-18,0.0094183682050043,0.01929741054700743,0.95600003,0.3160346909044195,scale,gaussian,1,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101145,iwls-nuts,FALSE,1,0.005
