xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,run,job,mcmc_strategy,apply_jitter
0,-2.630681001089425e-17,0.00690511080908343,0.0083730158437947,1,0.25776558733697785,loc,gaussian,1,ddpstar,1000,1000,20250815-070342,001-ddpstar,NA,NA
1,2.1950217658035438e-17,0.01080217212944276,0.01702654866928091,0.941,0.3236581503867146,loc,gaussian,1,ddpstar,1000,1000,20250815-070342,001-ddpstar,NA,NA
2,-1.2929017990763459e-16,0.02957507626193806,0.06595303872069526,0.831,0.5472178316921182,loc,gaussian,1,ddpstar,1000,1000,20250815-070342,001-ddpstar,NA,NA
3,1.843472757619725e-17,0.02096017778523238,0.03703748248593826,0.911,0.4590623895673933,loc,gaussian,1,ddpstar,1000,1000,20250815-070342,001-ddpstar,NA,NA
0,-5.580093678791975e-18,0.00123544190761087,0.00514106097641496,0.452,0.10883512432597062,scale,gaussian,1,ddpstar,1000,1000,20250815-070342,001-ddpstar,NA,NA
1,4.2297230606286046e-18,0.00223159071465231,0.00236163466246526,1,0.14636109714828474,scale,gaussian,1,ddpstar,1000,1000,20250815-070342,001-ddpstar,NA,NA
2,-9.940996955013863e-18,0.0051235511162187,0.01256164907352521,0.843,0.22421336411810977,scale,gaussian,1,ddpstar,1000,1000,20250815-070342,001-ddpstar,NA,NA
3,-1.3961578565711378e-19,0.0047649222865708,0.02241983758727522,0.424,0.2175671102940431,scale,gaussian,1,ddpstar,1000,1000,20250815-070342,001-ddpstar,NA,NA
0,-7.70975966084044e-18,0.02747724846524123,0.04616633623292403,0.988,0.5133518713449292,loc,gaussian,1,ddpstar,250,1000,20250815-070119,001-ddpstar,NA,NA
1,-1.7223512835858508e-18,0.04261927955886327,0.05280764443944154,1,0.6356530220770141,loc,gaussian,1,ddpstar,250,1000,20250815-070119,001-ddpstar,NA,NA
2,-1.4158285654986004e-16,0.09467193814301653,0.20286323286652935,0.843,0.9833039997619104,loc,gaussian,1,ddpstar,250,1000,20250815-070119,001-ddpstar,NA,NA
3,7.964610348738626e-18,0.06841733295781732,0.12147915457726163,0.929,0.8341969663853304,loc,gaussian,1,ddpstar,250,1000,20250815-070119,001-ddpstar,NA,NA
0,1.3445335701282406e-19,0.00453885748694786,0.01067022697373915,0.853,0.20374373647381736,scale,gaussian,1,ddpstar,250,1000,20250815-070119,001-ddpstar,NA,NA
1,3.7752089504285616e-18,0.00893509750359194,0.01994809285523693,0.831,0.2906559100430632,scale,gaussian,1,ddpstar,250,1000,20250815-070119,001-ddpstar,NA,NA
2,-1.24360706917533e-17,0.01736875991435819,0.04444230749160469,0.641,0.4214672594260368,scale,gaussian,1,ddpstar,250,1000,20250815-070119,001-ddpstar,NA,NA
