variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
g(x0)_coef,12859.444455944837,16685.558285492596,14409.836899048154,17235.55242387365,1.0005531891976955,1.0000955322730647,2241.602357384106,2511.8600164328423,2908.5538582297954,3004.426441323575,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
g(x0)_variance,9090.69557370162,9090.69557370162,12204.10463106941,12204.10463106941,1.0001448895570169,1.0001448895570169,1584.6504643402634,2127.3663729789378,1584.6504643402634,2127.3663729789378,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
g(x1)_coef,15960.869726450992,17567.27714703468,17834.542428073983,18343.16663784679,1.0003102055511066,1.0001055409223685,2782.229304483932,3108.8397703802793,3062.2512504736,3197.5009276764076,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
g(x1)_variance,13238.45317656038,13238.45317656038,16484.678002663815,16484.678002663815,1.0002333944309123,1.0002333944309123,2307.6695070585365,2873.537282118468,2307.6695070585365,2873.537282118468,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
g(x2)_coef,14777.007597069172,16847.92148594125,16175.944409596206,17977.818272855147,1.0003428398010257,1.0001013229870164,2575.8636135606944,2819.7201866447917,2936.8563042744127,3133.8149917063593,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
g(x2)_variance,11902.780161299292,11902.780161299292,15802.61343605069,15802.61343605069,1.0002474535930992,1.0002474535930992,2074.840803613307,2754.642757114214,2074.840803613307,2754.642757114214,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
g(x3)_coef,14610.563627661384,16742.264377072956,16074.595740809946,17648.10631030142,1.0002660210612484,1.0000504111940451,2546.849825642011,2802.0535280541094,2918.4386171709807,3076.3410382202505,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
g(x3)_variance,9795.955548072823,9795.955548072823,13756.176736983743,13756.176736983743,0.9999635841912063,0.9999635841912063,1707.588311813783,2397.916823534312,1707.588311813783,2397.916823534312,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
loc_intercept,14394.492215768814,14394.492215768814,18232.018225169457,18232.018225169457,1.000097009075426,1.000097009075426,2509.1851980664565,3178.126020406457,2509.1851980664565,3178.126020406457,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
s(x0)_coef,14259.955706553545,17631.82831439523,15409.030309868846,17392.932150002776,1.0003644062918056,1.0000586334282229,2485.7333796582543,2686.035060529937,3073.503528861132,3031.860189826795,gaussian,1,gaussian-iwls,1000,5000,007-gaussian,20250831-001203,NA,NA,NA,NA,NA
